This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
1,April,+70,14:47,+43.7,23:59,93,06:45,36,18:46,+55.4,06:45,+23.4,21:29,+73,18:57,+70,07:44,+32,21:28,+75.4,15:03,0,00:00,29.59,23:59,29.14,07:16,19.2,15:10,276,0.04,0,0.04,87.535
2,April,+64.9,18:05,+27.9,07:32,97,07:53,23,18:13,+29.8,07:57,+14.9,23:49,+75.2,17:14,+68.7,07:50,+27.9,07:32,-999,00:00,0,00:00,29.74,11:45,29.59,23:59,10.1,01:23,295,0,1,0.04,27.811
3,April,+51.6,13:26,+40.3,05:07,98,23:59,29,02:27,+48.7,23:59,+13.3,04:32,+71.4,00:04,+69.1,07:18,+37.4,05:08,-999,00:00,0.08,15:36,29.59,02:00,29.2,23:59,8.1,16:54,75,0.2,0,0.2,25.195
4,April,+67.3,13:25,+46.6,23:57,98,23:16,51,14:01,+57.2,10:25,+44.1,23:59,+73.2,18:22,+69.6,07:35,+39.2,23:58,-999,00:00,0.39,04:39,29.2,00:15,29,16:45,13.2,19:54,311,1.73,0,1.73,39.905
5,April,+61.9,15:35,+38.5,06:38,98,08:12,35,17:24,+44.4,00:01,+29.1,19:14,+74.1,18:25,+69.1,08:09,+37.4,01:25,-999,00:00,0.08,00:00,29.38,12:31,29.17,00:00,9.2,01:25,277,0,1,1.73,23.66
6,April,+81.7,17:29,+36.1,06:34,98,07:46,23,18:26,+45,13:57,+31.6,10:18,+76.6,16:06,+69.1,09:49,+35.6,06:47,+79.2,17:29,0,00:00,29.29,15:00,29.2,21:16,8.1,16:54,155,0,2,1.73,15.798
7,April,+87.8,16:52,+45.9,06:21,98,07:14,19,16:52,+48,07:14,+32.7,19:44,+75.6,18:10,+69.8,10:00,+45.9,06:21,+83.5,16:52,0,00:00,29.32,23:59,29.23,04:15,8.7,18:46,308,0,3,1.73,29.108
8,April,+86.5,16:00,+44.2,07:02,98,08:17,20,16:03,+50.9,22:42,+37,17:47,+75.4,14:53,+69.6,09:50,+44.2,07:02,+82.8,16:00,0,00:00,29.38,12:00,29.26,23:59,8.1,14:46,185,0,4,1.73,12.877
9,April,+75.4,12:30,+56.7,08:19,98,09:59,44,14:29,+59.7,12:01,+45,07:36,+73.2,15:16,+70.5,08:06,+56.7,08:19,+77.2,12:30,1.46,07:46,29.41,23:59,29.26,04:15,10.1,13:47,290,0.12,0,0.12,20.404
10,April,+83.5,16:34,+52.2,07:32,98,04:55,29,16:55,+55,01:56,+36.7,08:53,+74.3,18:09,+70.2,09:17,+48.2,07:48,+81.3,16:34,0,00:00,29.41,09:15,29.12,23:59,7.6,09:47,69,0,1,0.12,12.408
