This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

1,April,+94.3,16:11,+41.7,07:22,30,07:39,11,16:55,+32.9,18:27,+7.3,04:13,+66.9,01:23,+64.6,20:14,+41,07:22,+88.2,16:11,0,00:00,29.35,11:59,29.2,20:59,11,14:51,225,0,3,0.04,36.314
2,April,+100.6,16:13,+44.2,07:03,41,06:51,10,17:40,+34.9,17:39,+9.7,01:51,+66.6,13:58,+64.6,18:20,+44.2,07:03,+94.6,16:13,0,00:00,29.35,12:15,29.2,23:59,8.3,13:36,176,0,4,0.04,13.458
3,April,+86.2,12:18,+47.7,23:59,27,23:59,13,18:46,+29.7,12:21,+9.7,22:23,+70.9,22:14,+65.5,00:05,+47.7,23:59,+80.8,12:18,0,00:00,29.38,23:59,29.12,12:29,19.7,13:04,183,0,5,0.04,52.935
4,April,+90.5,16:25,+37.9,07:21,71,08:41,12,16:26,+41.7,08:41,+11.3,23:57,+68.7,00:10,+66.2,21:05,+37.4,07:23,+84.7,16:25,0,00:00,29.5,11:29,29.32,23:59,10.1,16:28,138,0,6,0.04,16.193
5,April,+90.7,16:26,+49.6,04:25,59,21:59,12,16:27,+51.1,21:59,+9.7,03:35,+70.5,23:40,+66.2,17:56,+49.6,04:25,+84.7,16:26,0,00:00,29.38,13:44,29.29,23:59,15,13:21,286,0.04,0,0.04,35.829
6,April,+97.9,16:29,+59.2,05:45,70,05:59,11,18:11,+49.6,05:59,+19.6,22:55,+70,00:07,+66.4,21:07,+59,06:11,+91.9,16:29,0,00:00,29.29,00:44,29.06,23:59,17.4,15:27,224,0,1,0.04,69.702
7,April,+90.1,17:12,+61.2,23:59,19,23:59,12,17:12,+32,17:12,+15.8,23:29,+69.4,21:54,+66.4,19:50,+60.8,23:59,+84.4,17:12,0,00:00,29.14,11:00,29,23:59,15,05:17,267,0,2,0.04,79.613
8,April,+69.1,05:00,+38.8,22:24,42,12:13,17,18:03,+33.3,10:06,+5.5,21:02,+68.4,21:48,+67.5,07:14,+37.4,19:44,+69.6,05:03,0.12,10:28,29.17,23:59,28.91,06:59,13.2,19:29,292,0.12,0,0.12,56.009
9,April,+62.6,16:32,+31.1,06:59,55,08:26,16,18:34,+25.5,08:26,+1,23:49,+69.8,23:05,+66.7,16:02,+26.6,09:39,-999,00:00,0,00:00,29.5,23:59,29.2,05:14,15,17:12,311,0,1,0.12,67.157
10,April,+90,16:57,+28.2,07:03,58,08:26,12,16:57,+32,17:03,+1.2,00:27,+68.7,00:03,+65.8,20:47,+28.2,07:04,+84.2,16:57,0,00:00,29.68,12:44,29.5,01:14,8.7,13:04,130,0,2,0.12,14.502
11,April,+90.9,15:38,+34.5,07:15,46,07:45,12,15:43,+32,15:43,+2.1,02:28,+68.4,22:13,+65.8,20:23,+33.8,07:15,+84.9,15:38,0,00:00,29.62,11:44,29.5,19:14,9.6,17:44,245,0,3,0.12,11.431
12,April,+91,17:06,+41.5,06:53,41,07:05,12,17:06,+34.2,16:01,+7,01:25,+67.3,01:10,+65.5,19:13,+41,06:53,+85.1,17:06,0,00:00,29.68,12:14,29.53,20:14,8.1,10:43,62,0,4,0.12,14.353
13,April,+87.6,15:54,+43.3,06:19,20,06:55,12,11:38,+30.7,15:54,+5,06:19,+68.4,21:49,+65.5,18:45,+42.8,06:21,+82,15:54,0,00:00,29.68,23:59,29.53,04:59,8.7,22:57,55,0,5,0.12,28.146
14,April,+92.5,17:02,+44.4,06:51,39,07:17,12,17:06,+32.5,17:02,+10.6,01:05,+69.1,22:48,+65.8,20:07,+44.4,06:51,+68.9,10:16,0,00:00,29.76,12:14,29.62,23:29,8.7,14:17,89,0,6,0.12,13.719
15,April,+100,15:48,+44.1,05:50,51,07:38,10,15:52,+34.9,16:41,+13.5,00:33,+68.2,20:42,+66,18:50,+44.1,05:50,+93.9,15:48,0,00:00,29.65,11:44,29.47,23:59,10.1,17:05,307,0,7,0.12,12.318
16,April,+86.7,12:39,+54.5,03:56,61,21:10,13,16:20,+47.8,21:10,+14.5,00:18,+70.5,23:05,+66.9,00:42,+53.6,18:14,+81.3,12:39,0.35,17:55,29.47,01:59,29.17,17:29,17.4,15:29,265,0.24,0,0.24,42.592
17,April,+68.2,16:12,+38.7,07:26,36,00:03,15,18:09,+31.5,00:00,+3.6,07:07,+69.4,00:01,+67.1,19:32,+33.8,22:51,+68.5,16:12,0,00:00,29.38,11:14,29.26,01:29,15.9,09:42,275,0,1,0.24,65.291
18,April,+76.8,15:52,+28.6,07:06,37,07:30,13,17:57,+22.3,15:52,-2.2,04:08,+69.4,22:12,+67.1,16:16,+28.4,07:18,+73.2,15:52,0,00:00,29.47,11:29,29.35,17:59,11,17:38,294,0,2,0.24,23.153
19,April,+78.1,16:17,+32.9,06:57,65,07:37,13,18:19,+29.1,07:39,+5.9,23:59,+69.8,22:33,+67.1,17:03,+32.9,06:57,+74.1,16:17,0,00:00,29.47,12:44,29.35,23:59,11,15:55,304,0,3,0.24,20.523
20,April,+85.3,16:35,+37.9,06:34,47,07:01,12,15:31,+29.7,16:31,+5.4,00:03,+70,22:07,+67.1,14:48,+37.4,06:53,+80.1,16:35,0,00:00,29.35,02:59,29.17,23:59,9.2,13:25,100,0,4,0.24,11.312
21,April,+79.3,16:46,+47.3,23:59,31,07:41,13,18:23,+27.7,16:46,+7.2,22:58,+69.4,21:46,+67.6,20:14,+47.3,23:59,+75.4,16:46,0,00:00,29.17,12:59,29.09,18:14,12.3,15:30,270,0,5,0.24,31.112
22,April,+82.4,16:50,+37.8,05:58,52,07:05,13,17:40,+28.6,17:11,+9,00:20,+70,21:30,+67.3,17:09,+37.4,06:28,+72.9,10:48,0,00:00,29.17,23:59,29.09,17:14,13.6,16:31,279,0,6,0.24,34.179
23,April,+67.5,12:21,+48.7,04:38,63,23:54,17,13:34,+43.5,23:54,+15.4,00:25,+69.8,22:08,+67.6,18:36,+48.2,04:40,-999,00:00,0,00:00,29.26,21:29,29.14,04:29,5.8,14:04,190,0,7,0.24,4.516
24,April,+85.6,12:22,+54.9,05:39,69,20:51,13,12:22,+52.9,20:20,+22.8,10:55,+68.7,23:59,+67.8,16:59,+54.9,05:39,+80.2,12:22,0.28,18:05,29.23,00:59,28.85,23:59,10.1,17:56,194,0.39,0,0.39,12.139
25,April,+80.2,11:15,+55,06:14,87,08:08,14,17:05,+56.5,08:08,+18,17:37,+70.9,22:08,+68,06:25,+51.8,23:30,+76.1,11:15,0.04,00:00,28.85,01:14,28.61,16:58,16.3,17:11,277,0.04,0,0.04,51.627
26,April,+58.5,00:15,+47.1,23:59,62,08:20,27,02:49,+41.5,08:20,+22.1,14:58,+71.4,23:04,+69.3,14:43,+41,15:12,-999,00:00,0.04,08:32,28.88,23:59,28.58,06:59,11.9,14:14,298,0.16,0,0.16,56.322
27,April,+67.8,16:18,+35.2,23:59,71,03:49,15,18:54,+36.9,00:27,+2.7,22:39,+70.2,20:43,+67.6,12:15,+35.2,23:59,-999,00:00,0,00:00,29.17,23:59,28.85,07:14,12.8,17:57,263,0.04,0,0.04,22.304
28,April,+76.8,15:48,+30.7,03:03,43,03:10,13,18:05,+22.3,15:48,+4.5,22:06,+69.6,21:20,+68,19:28,+30.2,03:12,+73.2,15:48,0,00:00,29.29,10:58,29.17,03:16,11,16:54,290,0,1,0.04,32.927
29,April,+87.4,16:31,+32.4,06:47,76,07:37,12,12:45,+35.4,07:37,+6.8,00:02,+70.3,21:26,+67.8,15:23,+32,06:56,+81.9,16:32,0,00:00,29.35,09:14,29.14,23:59,10.1,13:19,102,0,2,0.04,23.235
30,April,+96.1,17:03,+47.3,07:10,47,07:28,11,18:30,+33.1,17:03,+12.6,02:27,+69.6,22:21,+67.8,20:40,+47.3,07:10,+90.1,17:03,0,23:59,29.2,10:58,29.06,20:28,15.4,16:02,350,0,3,0.04,37.156
