This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
1,August,+99,16:28,+67.1,06:44,98,08:31,16,15:49,+72.7,08:31,+42.3,15:53,+74.5,19:00,+69.4,08:46,+67.1,06:45,+95.5,16:28,0,00:00,29.17,12:17,29.09,23:17,8.7,13:43,265,0,1,0.12,20.977
2,August,+100,15:43,+68,23:45,98,06:57,13,18:07,+72.7,07:35,+34.9,19:05,+75,18:45,+70.2,08:00,+68,23:49,+95.9,15:43,0,00:00,29.2,23:59,29.06,06:02,8.7,19:24,286,0,2,0.12,18.712
3,August,+98.4,17:35,+57.6,06:59,98,08:11,13,17:40,+62.4,08:22,+34.3,19:00,+74.5,18:11,+69.4,09:09,+57.2,07:09,+83.1,10:24,0,00:00,29.32,23:47,29.2,03:17,8.1,15:26,290,0,3,0.12,7.474
4,August,+98.8,15:57,+58.5,05:19,98,08:19,16,17:45,+65.1,08:23,+38.8,14:03,+74.5,18:36,+69.4,08:59,+58.5,05:19,+94.8,15:57,0,00:00,29.35,14:47,29.26,22:32,6.7,13:22,277,0,4,0.12,9.404
5,August,+91.6,18:35,+68.7,06:21,98,10:33,26,18:40,+69.6,10:31,+48.7,01:05,+72.7,20:07,+70.2,09:52,+66.2,04:23,+89.6,18:39,2.36,04:14,29.38,10:17,29.23,21:32,12.3,04:02,248,0.67,0,0.67,10.835
6,August,+98.1,17:15,+68.7,23:49,98,09:18,17,18:05,+75.2,09:18,+40.3,18:26,+73.9,19:26,+70.2,08:18,+68,23:49,+94.3,17:15,0.12,04:58,29.32,13:17,29.23,23:59,8.7,15:46,272,0.08,0,0.08,22.773
7,August,+93.9,17:11,+68.4,08:07,98,08:34,16,17:11,+71.8,08:39,+34.9,20:05,+74.8,16:18,+70,08:32,+68,23:59,+89.4,15:26,0,00:00,29.23,09:18,29.14,21:32,11,15:56,280,0,1,0.08,31.835
8,August,+92.3,16:35,+57.7,23:59,79,23:59,15,18:39,+52,23:31,+31.6,18:51,+82,12:52,+69.1,07:57,+57.2,23:59,+75.4,00:16,0,00:00,29.29,12:32,29.17,00:19,8.7,12:39,290,0,2,0.08,17.348
9,August,+91.6,12:06,+55.4,07:01,98,08:24,17,12:07,+60.6,08:27,+34.3,17:00,+73.4,16:58,+69.1,09:28,+55.4,07:22,+86.9,12:06,0,00:00,29.26,12:24,29.17,21:09,8.3,16:57,285,0,3,0.08,18.295
10,August,+89.1,17:37,+56.1,23:58,90,07:45,13,18:57,+60.4,07:44,+26.8,18:44,+73.4,17:53,+69.4,08:46,+55.4,23:58,+83.8,17:37,0,00:00,29.23,23:59,29.14,18:08,11,17:04,293,0,4,0.08,29.961
11,August,+88.3,17:53,+49.8,07:04,98,08:11,18,19:08,+56.5,08:23,+33.8,19:57,+73.2,17:23,+69.1,09:07,+49.8,07:04,+83.8,17:53,0,00:00,29.29,14:24,29.2,05:08,8.7,13:52,237,0,5,0.08,12.02
12,August,+89.6,11:22,+49.8,06:05,98,08:33,18,18:10,+59.5,08:32,+34.9,17:12,+73,18:52,+68.9,09:29,+49.8,06:05,+85.1,11:22,0,00:00,29.26,00:24,29.12,22:09,6.3,12:16,120,0,6,0.08,2.109
13,August,+95.7,16:50,+54.3,07:00,98,08:29,14,17:16,+60.8,08:27,+34.3,16:55,+73.8,19:19,+69.1,08:32,+53.6,07:00,+90.5,16:50,0,00:00,29.14,00:09,29.03,16:24,7.6,17:23,278,0,7,0.08,3.383
14,August,+91.8,16:25,+57.4,07:04,95,08:06,16,16:25,+60.6,08:05,+34.7,18:37,+73.6,18:07,+69.3,09:25,+57.2,07:25,+87.1,16:25,0,00:00,29.23,23:59,29.09,06:09,8.7,13:28,337,0,8,0.08,16.201
15,August,+93.2,17:29,+58.6,23:59,98,08:07,14,17:31,+62.4,08:07,+30.9,20:24,+73.8,18:18,+69.4,08:53,+58.6,23:59,+88.5,17:26,0,00:00,29.38,23:59,29.23,05:54,8.7,18:10,254,0,9,0.08,4.471
16,August,+96.1,16:54,+49.6,06:54,94,08:06,11,16:55,+57,08:36,+29.8,17:03,+73.8,17:49,+69.1,08:49,+49.6,06:54,+91,16:54,0,00:00,29.44,11:39,29.32,19:39,7.6,13:37,206,0,10,0.08,3.86
17,August,+99.5,17:40,+52.5,06:32,97,07:42,11,18:02,+57,08:02,+30.6,17:25,+73.9,17:06,+69.3,09:33,+51.8,06:32,+94.5,17:40,0,00:00,29.38,12:24,29.26,21:09,8.7,16:01,277,0,11,0.08,14.74
18,August,+98.2,17:09,+53.1,06:52,96,07:43,11,18:41,+56.5,08:10,+29.5,17:38,+74.1,17:11,+69.1,07:31,+53.1,06:52,+91.6,15:42,0,00:00,29.32,13:38,29.23,20:09,7.6,17:02,217,0,12,0.08,12.497
