This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

1,August,+95.2,16:02,+64.2,01:55,70,08:04,11,18:00,+57.4,08:04,+27,19:33,+74.1,17:11,+69.1,07:56,+64.2,01:55,+89.1,16:02,0,00:00,29.38,08:40,29.23,23:10,8.7,16:20,206,0,1,0.87,21.685
2,August,+87.6,15:28,+60.8,23:51,73,08:20,13,18:47,+62.8,08:19,+23,20:17,+73.4,18:31,+69.4,09:02,+60.8,23:59,+82,15:28,0.16,06:18,29.32,23:59,29.14,06:40,10.1,16:26,290,0.24,0,0.24,34.711
3,August,+95.7,16:34,+57.9,03:20,66,07:38,11,17:44,+48.9,07:38,+23.5,20:23,+73.4,18:38,+68.5,07:54,+57.2,03:20,+89.8,16:34,0,00:00,29.38,11:40,29.26,18:40,7.6,17:44,167,0,1,0.24,16.178
4,August,+77.7,12:23,+62.4,04:28,72,10:36,18,12:48,+57.4,10:36,+29.3,12:48,+70.9,19:31,+68.7,08:36,+60.8,16:22,+75.9,11:32,4.8,08:45,29.35,09:40,29.14,19:10,11.9,16:22,283,1.69,0,1.69,11.163
5,August,+82.9,14:59,+62.8,06:40,74,07:47,14,15:01,+57.6,07:47,+27,15:01,+72.3,18:07,+68.9,07:54,+62.6,06:40,+78.6,14:59,0,00:00,29.35,12:10,29.26,06:25,5.8,18:10,243,0,1,1.69,2.422
6,August,+93.7,15:26,+58.5,23:56,72,07:43,11,15:35,+57.2,07:40,+20.3,20:12,+73.2,18:18,+69.1,08:08,+58.5,23:56,+87.6,15:26,0,00:00,29.41,23:59,29.29,04:55,8.7,17:08,279,0,2,1.69,12.005
7,August,+98.6,16:19,+55.8,05:42,71,07:59,10,16:19,+50.2,07:59,+24.4,09:37,+73.6,17:01,+68.5,07:18,+55.4,05:54,+92.5,16:19,0,00:00,29.5,12:25,29.38,00:40,6.3,14:05,287,0,3,1.69,5.313
8,August,+99.5,16:29,+63.1,02:06,45,07:32,10,16:29,+47.1,22:46,+27.5,09:17,+74.5,17:13,+69.3,08:48,+62.6,02:10,+93.4,16:29,0,00:00,29.47,13:40,29.38,23:25,6.3,16:41,192,0,4,1.69,8.406
9,August,+102.2,16:08,+67.1,06:57,76,07:47,10,18:50,+63.7,07:46,+28,20:05,+76.1,18:41,+70,04:51,+67.1,06:57,+90.9,12:38,0,00:00,29.47,11:40,29.38,23:59,9.6,14:02,207,0,5,1.69,30.404
10,August,+100.8,16:02,+69.8,23:59,72,07:40,10,16:56,+64.8,07:40,+28.2,17:51,+75.2,18:32,+70,04:07,+69.8,23:59,+86.7,10:06,2.87,18:08,29.41,08:40,29.26,17:10,11.4,17:59,262,0.31,0,0.31,21.834
11,August,+98.8,16:11,+67.6,04:00,88,07:56,10,16:11,+68,08:31,+28.2,14:05,+74.7,18:30,+69.8,02:19,+67.6,04:00,+90.7,12:01,0,00:00,29.32,12:55,29.23,21:26,8.3,15:11,292,0,1,0.31,15.5
14,August,+101.5,15:56,+65.7,23:59,43,23:59,10,18:08,+43.2,23:49,+24.4,20:09,+74.5,18:41,+70.3,23:59,+65.7,23:59,+95.5,15:56,0,10:46,29.47,12:55,29.41,23:59,5.8,12:47,325,0,1,0,5.239
15,August,+105.4,15:41,+64.4,02:18,65,07:25,10,18:08,+53.2,07:23,+27.1,18:51,+76.5,18:13,+69.8,01:06,+64.4,07:50,+89.8,11:18,0,00:00,29.47,12:25,29.38,19:25,6.3,15:50,92,0,2,0,3.719
