This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
1,December,+40.1,13:19,+32.4,22:33,71,17:43,33,12:28,+26.8,05:33,+12,22:55,+68.4,13:20,+66.7,09:03,+17.6,20:25,-999,00:00,0,00:00,29.23,23:59,28.64,04:41,14.5,16:12,226,0,1,0.55,62.045
2,December,+33.4,00:17,+22.8,23:59,60,21:37,31,16:19,+14.9,01:30,+3.6,08:20,+68.4,20:52,+67.1,23:58,+17.6,08:03,-999,00:00,0,23:59,29.47,23:26,29.23,00:27,12.3,02:47,288,0,2,0.55,30.091
3,December,+52.2,15:37,+22.3,06:51,64,07:41,21,19:39,+18.7,23:42,+8.1,00:38,+70.7,12:40,+67.1,02:59,+22.3,06:51,-999,00:00,0,23:59,29.47,08:11,29.23,23:11,9.6,23:20,152,0,3,0.55,15.955
4,December,+51.8,00:37,+22.3,23:20,81,05:05,27,01:13,+39,05:05,+0.9,22:58,+70.2,16:25,+67.3,23:59,+15.8,22:54,-999,00:00,0,00:00,29.68,23:59,29.26,01:41,11,06:57,247,0.04,0,0.04,36.791
5,December,+30.9,16:09,+13.5,07:44,65,23:59,25,16:33,+6.8,23:59,-5.3,18:16,+71.2,15:35,+67.1,05:06,+10.4,01:02,-999,00:00,0,00:00,29.68,11:41,29.44,23:59,8.7,01:02,254,0,1,0.04,15.262
6,December,+32.9,21:03,+12.4,01:59,66,22:01,36,23:59,+19.6,22:04,+0.9,01:59,+68.5,03:58,+66.9,11:12,+12.2,22:02,-999,00:00,0,00:00,29.44,01:26,29.12,16:56,12.8,22:02,241,0,2,0.04,29.979
7,December,+31.1,16:17,+14.2,20:17,50,20:34,23,16:36,+8.6,00:05,-8.7,17:40,+71.8,13:16,+67.1,06:22,+3.2,09:11,-999,00:00,0,23:59,29.56,22:26,29.23,01:11,15,03:07,301,0,3,0.04,62.399
8,December,+43.5,23:59,+22.1,00:44,36,05:24,23,23:59,+8.8,12:50,-2.6,00:44,+69.3,13:29,+67.3,08:45,+17.6,01:20,-999,00:00,0,00:00,29.53,02:42,29.32,23:59,5.8,10:43,160,0,4,0.04,1.632
9,December,+61.9,13:56,+42.8,06:29,94,21:08,17,11:12,+51.1,21:08,+4.5,06:29,+69.4,14:57,+67.3,08:14,+39.2,07:13,-999,00:00,0.08,17:06,29.35,04:42,29.12,23:59,9.6,09:27,153,0.24,0,0.24,27.088
10,December,+55.4,01:49,+34,23:59,98,08:02,72,13:47,+54,06:30,+28.2,23:59,+68.5,00:35,+67.3,23:59,+26.6,11:29,-999,00:00,0.16,00:19,29.35,23:59,29.12,06:26,10.1,11:29,254,0.75,0,0.75,13.063
11,December,+34.3,11:51,+32.4,23:59,82,17:44,44,23:43,+28.8,17:43,+13.6,23:43,+68.4,14:14,+67.3,23:32,+28.4,14:01,-999,00:00,0,00:00,29.35,00:26,29,20:12,6.3,14:01,279,0.04,0,0.04,2.832
12,December,+35.1,12:35,+18.1,23:11,69,17:10,32,20:20,+21.2,17:07,-2.2,21:56,+68.2,16:44,+66.9,23:55,+17.6,23:13,-999,00:00,0,00:00,29.53,23:59,29.06,02:11,8.1,12:38,292,0,1,0.04,4.076
13,December,+39.2,13:43,+11.7,07:34,73,10:23,28,13:43,+22.1,10:28,-0.6,00:35,+72,15:00,+66.9,00:33,+11.7,07:34,-999,00:00,0,00:00,29.65,11:11,29.44,23:59,6.7,15:07,91,0.04,0,0.04,9.308
14,December,+58.6,15:22,+28.2,07:38,74,08:24,22,16:17,+24.1,08:33,+10.2,10:08,+69.3,12:35,+67.5,11:26,+28.2,07:38,-999,00:00,0,00:00,29.47,11:12,29.35,22:11,13.2,14:47,156,0.04,0,0.04,44.831
15,December,+61.3,07:27,+25.3,23:59,92,10:50,27,01:54,+53.4,10:49,+6.4,20:40,+68.2,08:25,+67.1,23:49,+21.2,19:39,-999,00:00,0.12,09:19,29.79,23:59,29.29,05:56,12.8,07:24,279,0.28,0,0.28,59.281
16,December,+31.6,23:59,+23.4,07:46,87,23:59,42,11:30,+28.2,23:59,+5.5,05:47,+68.4,07:59,+67.1,20:07,+23,09:07,-999,00:00,0,00:00,29.82,03:11,29.29,23:59,0,23:59,250,0,1,0.28,0
17,December,+37.6,04:50,+31.6,00:04,98,05:35,53,15:52,+37,04:50,+19.4,19:02,+68.4,07:38,+67.3,21:31,+24.8,13:09,-999,00:00,0.04,09:43,29.56,23:59,29.26,01:12,8.7,13:09,285,0.24,0,0.24,21.968
18,December,+38.1,15:08,+32.9,09:12,96,23:59,58,14:00,+34.5,23:59,+19.9,00:25,+68.4,12:10,+67.1,10:01,+32.9,09:12,-999,00:00,0,00:00,29.59,11:41,29.47,23:59,5.4,08:53,46,0,1,0.24,1.066
19,December,+69.4,13:51,+35.6,00:51,98,10:54,23,16:19,+59.9,10:54,+23.4,23:33,+72,15:51,+67.3,03:42,+30.2,03:48,+74.3,12:31,0.35,08:18,29.47,00:11,28.94,14:12,26.6,15:46,276,0.28,0,0.28,78.525
20,December,+39.9,00:01,+31.6,08:46,91,23:59,49,12:00,+33.4,23:59,+17.8,11:32,+69.4,00:17,+67.3,06:34,+30.2,02:33,-999,00:00,0,00:00,29.32,09:12,28.94,23:41,8.3,00:14,291,0,1,0.28,8.577
21,December,+36.9,02:57,+7,23:51,97,01:26,23,18:24,+34.9,01:47,-19.8,23:51,+72.1,15:19,+67.5,23:59,-22,20:31,-999,00:00,0,00:00,29.5,23:59,28.94,00:41,26.2,16:26,304,0,2,0.28,127.638
22,December,+21.2,16:34,+4.8,07:54,34,23:59,27,16:42,-7.4,16:34,-21.8,07:54,+72.1,15:19,+65.5,05:44,-18.4,03:49,-999,00:00,0,23:59,29.82,23:59,29.5,01:11,13.2,03:49,303,0,3,0.28,56.65
23,December,+36.7,23:59,+10,00:00,53,23:17,25,14:54,+18.7,23:17,-12.6,00:00,+68.4,19:46,+67.3,09:13,+10,00:00,-999,00:00,0,23:59,29.82,02:26,29.38,23:41,6.3,22:27,128,0,4,0.28,1.453
24,December,+60.8,16:29,+35.1,00:28,87,08:33,28,20:22,+50.7,15:47,+13.1,23:24,+69.1,19:51,+66.9,05:52,+24.8,01:05,-999,00:00,0.28,07:54,29.47,23:59,29.06,15:57,17.4,17:18,290,1.18,0,1.18,69.516
25,December,+38.5,00:09,+23,21:22,57,21:37,26,16:08,+15.8,00:00,+2.8,23:59,+73.6,16:17,+67.1,08:44,+19.4,08:45,-999,00:00,0,00:00,29.74,11:42,29.47,00:27,8.3,01:46,294,0,1,1.18,4.59
26,December,+51.8,23:20,+21.6,06:00,98,23:59,35,09:51,+51.3,23:20,+2.7,00:49,+69.1,18:02,+67.5,07:59,+21.2,06:09,-999,00:00,0,00:00,29.65,00:27,29.44,23:59,0,23:59,194,0.04,0,0.04,0
27,December,+72.3,14:53,+49.6,00:48,98,10:30,24,21:23,+59.4,10:30,+28.6,21:23,+74.7,15:51,+68.2,09:41,+49.6,00:48,+74.3,12:51,0,00:00,29.44,05:11,29.14,23:59,11,23:11,172,0,1,0.04,22.863
28,December,+66.9,02:19,+27.9,23:59,74,23:59,24,16:48,+50.2,05:35,+10,17:42,+75.7,15:57,+69.3,23:59,+27.9,23:59,-999,00:00,0.04,06:10,29.5,19:11,29.06,04:27,21.5,06:11,301,0.08,0,0.08,65.756
29,December,+53.6,16:29,+21.9,07:30,89,10:26,18,16:43,+34.9,10:34,+6.4,21:07,+73.8,14:37,+67.3,09:01,+21.2,07:35,-999,00:00,0,23:59,29.5,10:27,29.29,18:42,13.6,20:06,299,0,1,0.08,38.739
30,December,+55.8,23:04,+27.7,05:25,91,08:47,17,23:12,+29.3,09:13,+11.1,19:38,+73.9,14:26,+67.5,07:08,+27.7,05:25,-999,00:00,0,00:00,29.44,09:27,28.91,23:59,14.5,22:09,293,0,2,0.08,27.14
31,December,+53.8,00:06,+13.1,23:57,57,23:59,20,00:06,+14.5,00:07,-8.5,21:09,+70.7,14:45,+67.6,23:58,+8.6,13:24,-999,00:00,0,00:00,29.62,23:59,28.91,01:12,25.1,02:29,295,0,3,0.08,91.149
