This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

2,December,+50,15:44,+27,06:50,80,11:38,27,16:36,+36,11:42,+14.4,17:38,+72.1,22:42,+68.4,10:54,+26.6,07:01,-999,00:00,0,00:00,29.79,23:59,29.59,03:44,5.4,14:32,302,0,2,0,2.176
3,December,+57.7,15:31,+27.7,07:45,79,09:23,19,15:54,+32.7,10:23,+13.6,23:39,+72.1,23:10,+68.9,19:04,+27.7,07:45,-999,00:00,0,00:00,29.79,00:58,29.59,23:59,5.8,15:03,79,0,3,0,2.109
4,December,+60.6,21:16,+42.4,05:12,28,06:18,20,11:46,+24.6,21:16,+10,08:26,+72.5,22:01,+68.7,17:21,+39.2,07:53,-999,00:00,0,00:00,29.59,00:28,29.47,23:59,7.6,09:03,205,0,4,0,10.656
5,December,+58.1,00:37,+49.1,08:26,85,19:14,24,01:31,+48.6,19:14,+20.7,01:31,+72.1,21:49,+69.3,18:56,+48.2,19:02,-999,00:00,0.2,12:12,29.47,10:59,29.29,23:59,6.3,20:57,290,0.71,0,0.71,0.864
6,December,+53.4,00:11,+39.7,23:59,81,00:13,60,00:40,+47.7,00:11,+32.7,23:59,+71.4,20:09,+69.3,18:41,+35.6,23:58,-999,00:00,0.12,00:00,29.41,23:14,29.29,23:59,8.3,01:36,299,0.2,0,0.2,4.434
7,December,+39.7,00:03,+28.4,23:38,83,04:36,33,19:44,+34.5,04:11,+8.2,19:44,+71.4,20:37,+69.1,18:46,+17.6,16:56,-999,00:00,0.04,05:24,29.44,23:59,29.17,14:59,12.3,18:54,265,0.08,0,0.08,21.626
8,December,+43.3,15:34,+25.3,07:51,60,09:10,28,16:32,+16.9,09:17,+8.1,17:57,+71.8,23:36,+68.5,18:28,+19.4,01:40,-999,00:00,0,00:00,29.59,12:44,29.44,01:58,8.7,13:34,239,0,1,0.08,18.868
9,December,+48.4,14:58,+24.4,07:08,82,10:44,21,14:59,+32.9,10:51,+7.7,17:37,+71.6,21:55,+68.5,14:36,+24.4,07:08,-999,00:00,0,00:00,29.65,23:59,29.5,16:29,10.1,12:57,229,0,2,0.08,28.042
10,December,+35.8,14:36,+20.5,23:59,43,08:49,22,16:38,+14,00:13,-5.3,19:15,+72,23:19,+68.5,15:09,+19.4,11:34,-999,00:00,0,00:00,29.82,23:59,29.65,02:44,10.1,15:21,291,0,3,0.08,29.83
11,December,+43.5,15:33,+14.9,07:26,54,09:35,20,15:49,+10.6,10:50,-2.4,00:46,+71.6,18:47,+68.5,12:48,+14,07:26,-999,00:00,0,00:00,29.88,10:44,29.74,23:59,7.6,12:00,256,0,4,0.08,2.735
12,December,+51.6,15:46,+18.5,08:04,55,09:20,21,16:36,+14.7,14:53,+1,00:05,+71.4,18:46,+68.9,09:15,+17.6,08:05,-999,00:00,0,00:00,29.76,11:44,29.68,18:14,5.8,14:46,62,0,5,0.08,0.186
13,December,+51.3,14:14,+27.5,01:41,56,08:57,26,15:11,+22.8,15:53,+9,00:45,+71.6,22:53,+69.4,08:19,+26.6,01:41,-999,00:00,0,00:00,29.76,10:58,29.62,23:59,5.4,12:05,294,0,6,0.08,1.148
14,December,+60.6,15:14,+42.1,07:40,79,10:06,32,23:59,+41.2,10:06,+16.5,00:31,+72.1,18:41,+69.8,07:59,+42.1,07:40,-999,00:00,0,00:00,29.65,00:59,29.32,23:59,8.1,23:20,235,0,7,0.08,9.203
15,December,+64,14:55,+42.3,23:59,60,11:12,29,05:28,+44.1,12:36,+15.1,23:19,+72.5,20:12,+70.7,11:26,+28.4,23:35,-999,00:00,0.2,06:04,29.44,23:59,29.14,14:29,15,18:04,271,0.2,0,0.2,87.859
16,December,+42.3,00:22,+32.7,08:03,43,08:53,31,16:40,+16.3,00:42,+9.3,04:25,+71.6,19:20,+69.8,08:25,+23,03:01,-999,00:00,0,00:00,29.62,10:59,29.44,00:29,11,02:28,285,0,1,0.2,22.311
17,December,+39.4,15:56,+31.1,18:02,37,23:37,28,15:58,+11.5,00:35,+4.8,17:57,+71.6,18:32,+69.4,09:44,+24.8,04:23,-999,00:00,0,00:00,29.59,11:29,29.5,23:59,8.1,15:54,289,0,2,0.2,24.063
18,December,+47.3,15:18,+31.3,03:47,42,23:01,27,16:37,+16.2,11:13,+8.8,03:09,+72,18:46,+69.3,08:23,+28.4,07:42,-999,00:00,0,00:00,29.59,12:14,29.47,23:59,10.5,15:36,278,0,3,0.2,21.968
19,December,+53.8,15:14,+31.6,02:53,59,23:59,23,15:25,+31.1,23:30,+12,02:17,+71.8,23:04,+69.1,08:29,+31.6,02:53,-999,00:00,0,00:00,29.47,01:14,29.35,16:29,11,17:34,286,0.04,0,0.04,14.975
20,December,+52.5,23:30,+38.5,08:09,81,11:05,37,17:13,+40.6,11:50,+23.9,16:28,+72,23:49,+69.8,11:09,+38.5,08:09,-999,00:00,0,00:00,29.44,03:44,29.2,23:59,7.6,16:26,105,0.12,0,0.12,1.17
21,December,+66.7,13:33,+48,23:59,69,10:19,23,15:09,+46.8,10:19,+21.7,17:29,+73.2,18:39,+70.9,03:25,+46.4,18:15,-999,00:00,0.24,09:09,29.29,23:59,29,13:59,18.8,15:11,318,0.24,0,0.24,39.32
22,December,+48.7,14:21,+37.6,08:08,80,21:04,39,00:10,+39.9,21:02,+23.5,00:10,+72,18:58,+69.8,09:17,+35.6,23:59,-999,00:00,0.28,17:01,29.38,11:59,29.2,17:59,7.6,21:50,122,0.43,0,0.43,3.622
23,December,+43.3,12:28,+36.3,22:52,72,09:44,41,12:32,+32.4,09:44,+19.2,15:43,+71.6,14:40,+69.8,09:02,+28.4,14:19,-999,00:00,0,00:00,29.59,23:59,29.32,00:14,8.7,14:19,292,0,1,0.43,8.846
24,December,+44.2,16:13,+29.1,07:47,72,09:37,28,16:46,+25,09:49,+8.8,18:06,+71.6,15:42,+69.3,08:35,+28.4,08:24,-999,00:00,0,00:00,29.71,11:59,29.59,23:59,8.3,13:44,138,0,2,0.43,13.242
25,December,+53.6,15:25,+28.9,00:24,61,08:42,18,16:29,+19.8,08:45,+8.1,20:51,+72,18:42,+68.9,07:13,+28.4,21:27,-999,00:00,0,00:00,29.62,00:59,29.38,17:44,14.1,15:41,282,0,3,0.43,43.792
26,December,+46.9,14:42,+30.7,08:35,57,09:22,24,14:46,+20.3,09:30,+9.7,17:36,+72,18:14,+69.6,08:15,+30.2,08:45,-999,00:00,0,00:00,29.68,10:44,29.26,23:59,8.3,14:40,86,0,4,0.43,9.471
27,December,+43.9,14:20,+36.3,20:52,81,13:59,31,00:07,+38.1,14:20,+11.3,00:07,+72,18:52,+69.3,07:05,+21.2,20:24,-999,00:00,0.16,06:05,29.26,00:14,28.7,14:14,13.2,16:54,290,0.59,0,0.59,30.497
28,December,+41.5,15:10,+27.9,23:59,52,00:06,26,15:13,+22.3,00:06,+7.2,18:17,+71.6,18:12,+69.3,07:05,+14,06:22,-999,00:00,0,00:00,29.35,20:29,29.09,01:44,19.2,02:42,264,0,1,0.59,77.437
29,December,+51.8,16:19,+27.7,02:21,59,04:26,26,23:59,+19,11:34,+11.7,00:08,+71.4,22:47,+69.1,08:25,+27.7,02:21,-999,00:00,0,00:00,29.29,02:59,29.06,19:14,11,22:42,307,0,2,0.59,46.776
30,December,+59,16:27,+45.1,22:29,48,20:41,24,15:59,+31.1,20:40,+15.1,02:20,+72.3,18:45,+69.8,06:09,+35.6,20:40,-999,00:00,0,00:00,29.17,09:44,28.94,16:59,15,20:40,295,0.04,0,0.04,58.64
31,December,+53.4,00:00,+35.4,23:59,67,23:59,30,02:15,+26.8,22:40,+21,02:15,+72.1,18:33,+70.2,09:32,+33.8,09:16,-999,00:00,0,00:00,29.38,20:59,29.03,01:29,18.8,02:16,265,0,1,0.04,44.854
