This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
18,February,+42.6,13:36,+24.8,23:59,98,18:52,40,13:04,+32.9,19:03,+12.9,23:39,+70.2,13:49,+68.7,23:56,+14,19:48,-999,00:00,0,11:05,29.2,23:59,29.06,13:49,15,19:48,315,0,1,0,22.505
19,February,+37.4,16:23,+18.1,21:39,82,02:23,32,16:39,+20.3,04:22,+4.3,20:08,+71.4,16:37,+68,07:25,+1.4,10:59,-999,00:00,0,00:00,29.38,23:59,29.17,05:14,15,10:59,271,0,2,0,72.989
20,February,+35.6,16:02,+6.1,23:59,90,07:00,43,16:04,+23.7,13:58,-0.4,23:59,+70.3,16:34,+68.2,06:04,+6.1,23:59,-999,00:00,0,00:00,29.62,23:59,29.23,10:15,16.3,15:10,298,0,3,0,25.903
21,February,+32,13:40,-0.2,06:43,96,23:13,40,13:40,+28.8,23:13,-6.5,06:43,+70.2,19:02,+66.6,04:56,-0.4,07:11,-999,00:00,0,23:59,29.65,09:14,29.23,23:59,8.7,12:12,85,0,4,0,23.533
22,February,+35.6,15:39,+30,00:52,98,21:09,91,00:01,+34.5,13:33,+28.2,00:00,+70.2,15:33,+68.7,05:15,+30,00:52,-999,00:00,0,23:59,29.23,00:14,29.06,17:14,5.4,11:39,268,0.04,0,0.04,22.341
23,February,+34.9,14:49,+19.8,23:59,98,23:59,59,15:14,+25.2,20:14,+19.2,23:59,+70.5,19:29,+68.5,08:52,+19.4,23:59,-999,00:00,0,08:42,29.5,22:16,29.29,09:44,0,23:59,279,0.04,0,0.04,0
24,February,+35.4,15:07,+14.9,04:05,98,23:59,60,12:40,+29.8,18:37,+14.2,04:05,+70.3,21:30,+68.4,08:06,+14,04:06,-999,00:00,0,00:00,29.47,09:59,29.32,23:59,0,23:59,289,0,1,0.04,0
25,February,+39.4,15:45,+28.4,00:28,98,02:38,59,15:41,+34.2,22:48,+23.5,10:25,+70.2,21:20,+68.5,07:14,+28.4,00:51,-999,00:00,0,00:00,29.32,11:45,29.03,23:44,6.3,22:48,91,0.12,0,0.12,6.26
26,February,+41.5,11:35,+27.9,23:46,98,12:17,78,23:55,+40.8,11:35,+22.5,23:54,+70,21:28,+68.7,07:31,+17.6,20:46,-999,00:00,0.16,04:34,29.06,23:59,28.7,11:29,12.8,20:46,302,0.43,0,0.43,31.842
27,February,+31.6,17:05,+21.7,09:15,81,01:48,36,14:09,+23.2,00:22,+2.1,12:47,+73.2,13:26,+68.4,08:46,+10.4,19:41,-999,00:00,0,00:00,29.35,23:59,29.06,03:59,8.7,17:38,275,0,1,0.43,16.819
28,February,+42.4,16:32,+12.9,07:20,78,22:11,32,16:15,+17.8,20:33,+3.7,07:20,+73.6,15:24,+67.8,07:02,+10.4,04:35,-999,00:00,0,23:59,29.56,23:59,29.35,03:30,8.3,14:53,289,0,2,0.43,35.27
29,February,+45.9,21:46,+22.5,00:43,98,20:11,56,04:50,+44.1,20:13,+13.5,00:13,+69.6,21:32,+68.5,07:33,+21.2,07:16,-999,00:00,0.08,11:33,29.53,04:15,29.26,18:29,12.8,22:16,278,0.16,0,0.16,35.513
