This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

1,February,+59.7,16:55,+28.6,00:00,87,23:27,19,17:03,+31.1,23:26,+10.4,17:24,+74.5,16:22,+68,08:22,+26.6,06:02,-999,00:00,0.24,11:51,29.26,11:58,29.17,18:13,11.9,13:35,290,0.47,0,0.47,13.987
2,February,+44.6,16:59,+23,20:48,68,05:09,20,17:02,+23.7,02:30,-1.3,18:05,+70.9,16:48,+67.6,09:23,+14,23:59,-999,00:00,0,00:00,29.32,12:42,29.23,00:57,10.5,23:59,313,0,1,0.47,24.972
3,February,+42.4,10:56,+13.5,07:12,72,08:25,0,07:19,+15.6,20:12,-2.4,22:55,+71.1,12:28,+67.5,05:12,+8.6,23:13,-999,00:00,0,00:00,29.35,23:59,29.14,15:57,11,00:18,281,0,2,0.47,23.369
4,February,+25.3,15:58,+9.7,23:28,54,05:50,0,21:36,+1.8,02:37,-11.9,18:30,+71.1,16:02,+67.1,03:01,-4,18:26,-999,00:00,0,00:00,29.76,23:59,29.35,01:27,13.6,14:51,304,0,3,0.47,76.651
5,February,+33.4,16:28,+0.7,07:28,42,10:25,0,10:25,+0.1,10:31,-9.8,20:08,+72.7,14:58,+66,08:33,-0.4,01:58,-999,00:00,0,23:59,29.85,12:13,29.59,23:59,8.7,16:28,235,0,4,0.47,19.703
6,February,+56.8,16:44,+12.2,07:24,57,08:11,0,08:03,+18.5,23:57,-6.2,00:03,+74.5,15:36,+67.5,06:33,+12.2,07:44,-999,00:00,0,00:00,29.59,03:12,29.47,23:59,7.6,15:08,166,0,5,0.47,6.275
7,February,+60.3,21:37,+33.6,01:28,66,01:47,25,10:19,+30.7,23:31,+17.8,00:00,+69.1,23:18,+67.8,07:42,+33.6,01:28,-999,00:00,0,00:00,29.5,04:42,29.38,17:57,13.2,22:37,294,0,6,0.47,44.753
8,February,+63.9,11:13,+30.2,23:55,78,23:59,25,11:13,+35.4,08:13,+18.5,19:59,+72.7,20:02,+68.2,09:12,+30.2,23:59,-999,00:00,0,00:00,29.62,23:59,29.41,04:57,13.6,01:33,272,0,7,0.47,34.003
9,February,+60.4,16:43,+23.5,07:15,90,03:55,25,17:11,+36.5,23:37,+18.1,07:23,+70.2,19:55,+67.6,08:56,+23,07:23,-999,00:00,0,23:59,29.62,09:58,29.32,23:58,4.9,14:56,289,0,8,0.47,0.991
10,February,+58.1,12:10,+42.1,01:02,98,23:59,37,05:23,+54,22:08,+26.8,03:08,+68.9,19:10,+67.8,02:28,+42.1,01:02,-999,00:00,0.16,20:26,29.35,09:57,29.23,23:58,8.1,13:03,236,0.55,0,0.55,5.492
11,February,+73,14:03,+49.6,23:16,98,06:25,22,15:37,+52.9,00:00,+20.7,20:48,+72.5,14:15,+67.8,08:33,+33.8,23:16,+72.9,14:03,1.22,16:53,29.26,00:28,28.67,16:57,32.9,21:48,233,0.2,0,0.2,95.196
12,February,+57,16:44,+37,23:12,39,23:49,17,16:53,+26.1,00:12,+6.1,20:18,+73.9,15:07,+67.3,09:16,+23,06:38,-999,00:00,0,00:00,29.35,23:59,29.03,01:13,24.6,02:12,293,0,1,0.2,107.257
13,February,+57.4,16:31,+25.5,07:21,64,07:37,17,16:33,+17.8,08:08,+5,11:46,+75,15:18,+67.3,08:04,+24.8,07:22,-999,00:00,0,00:00,29.47,12:12,29.29,23:59,10.5,03:27,284,0,2,0.2,23.675
14,February,+48.6,16:03,+33.1,04:33,41,20:54,24,13:53,+17.2,18:13,+7.3,03:36,+69.6,16:12,+67.5,08:50,+24.8,22:13,-999,00:00,0,00:00,29.41,23:59,29.12,11:12,11,15:26,289,0,3,0.2,21.328
15,February,+50,11:03,+30,23:19,41,07:39,19,15:07,+13.5,02:38,+0.3,18:11,+73,15:37,+67.3,08:33,+24.8,10:08,-999,00:00,0,00:00,29.5,23:59,29.41,14:43,9.6,15:13,283,0,4,0.2,14.494
16,February,+48.7,16:17,+17.6,23:59,58,23:59,19,16:20,+10.6,06:23,-5.4,18:47,+70.9,16:54,+67.5,08:00,+14,08:49,-999,00:00,0,00:00,29.65,19:43,29.5,01:44,11,14:52,284,0,5,0.2,16.171
17,February,+57.7,16:16,+12.9,07:03,72,02:47,0,07:26,+13.6,08:23,+1.4,11:52,+72.3,16:49,+67.3,06:17,+12.2,07:06,-999,00:00,0,00:00,29.62,01:42,29.12,23:59,8.3,13:33,137,0,6,0.2,10.03
18,February,+65.7,16:06,+39.4,23:59,83,07:23,20,01:20,+41.9,12:03,+5.7,01:10,+70,17:11,+67.1,08:19,+26.6,23:52,-999,00:00,0.28,07:07,29.12,00:28,28.61,16:27,15.4,20:58,262,0.2,0,0.2,72.795
19,February,+39.6,00:03,+14.9,23:16,76,05:27,23,17:07,+30.7,00:20,-8.7,21:29,+71.6,15:41,+67.5,09:26,+3.2,18:28,-999,00:00,0,00:00,29.35,23:59,28.88,03:13,24.6,03:46,273,0,1,0.2,95.065
