This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
18,January,+24.4,20:07,+19.6,21:40,92,22:00,73,20:05,+20.3,23:44,+15.4,20:58,+73,19:43,+70.5,23:59,+19.4,21:47,-999,00:00,0,19:11,29.44,23:59,29.41,23:59,4.9,20:14,4,0.31,0,0.31,0
19,January,+32.9,14:11,+10.4,23:19,98,04:37,33,16:20,+22.1,09:02,-6.2,23:19,+72.7,15:29,+68.9,08:29,+10.4,23:59,-999,00:00,0,00:00,29.53,23:59,29.38,14:44,4,22:21,262,0.04,0,0.04,0
20,January,+26.8,13:44,+4.5,07:06,46,10:34,32,15:54,+1.2,13:43,-13.9,23:08,+72.5,20:13,+67.3,09:10,+1.4,19:11,-999,00:00,0,00:00,29.91,23:59,29.53,02:14,6.7,18:07,187,0.04,0,0.04,0
21,January,+40.1,14:09,+3.7,05:27,67,10:03,26,15:59,+9.7,14:09,-16.1,05:27,+74.7,16:04,+67.8,05:50,+3.2,05:30,-999,00:00,0,23:59,30,10:44,29.59,23:59,5.8,14:53,87,0,1,0.04,0.045
22,January,+37.9,13:05,+21.4,23:55,98,09:47,35,02:13,+35.1,09:46,+3,00:25,+70,22:10,+68.9,23:51,+21.2,23:59,-999,00:00,0,00:00,29.59,00:29,29.32,17:59,6.7,18:12,221,0.04,0,0.04,0.045
23,January,+43,14:01,+7.9,07:39,89,09:31,29,16:12,+17.8,10:41,+3,07:39,+75.2,16:09,+67.1,09:20,+6.8,21:22,-999,00:00,0,00:00,29.47,11:44,29.29,23:59,8.3,21:22,263,0,1,0.04,0.142
24,January,+30,11:44,+6.4,23:48,95,02:44,50,11:57,+23.4,10:00,-3.8,23:48,+70.3,11:59,+68.4,23:59,+6.4,23:48,-999,00:00,0,23:59,29.76,23:59,29.26,06:14,3.6,13:11,122,0,2,0.04,0
25,January,+37.8,14:23,-1.1,07:31,87,10:44,31,15:15,+20.1,10:49,-11,07:31,+74.1,15:50,+66.9,07:43,-1.1,07:31,-999,00:00,0,00:00,29.85,11:28,29.53,23:59,5.8,17:39,272,0,3,0.04,0.037
26,January,+36.1,14:26,+23.9,02:08,73,22:13,48,12:24,+26.4,22:10,+8.6,01:11,+70,20:20,+68.7,09:23,+23,02:08,-999,00:00,0,00:00,29.53,02:14,29.29,14:14,0,23:59,171,0,4,0.04,0
27,January,+49.3,15:03,+23,23:56,98,23:59,37,16:20,+27.1,06:25,+19.6,17:16,+73.9,15:14,+68.4,08:04,+23,23:59,-999,00:00,0,00:00,29.47,23:59,29.32,04:59,0,23:59,171,0,5,0.04,0
28,January,+49.5,23:59,+18.3,06:56,98,08:06,34,23:59,+25.3,20:28,+17.8,07:38,+71.8,17:12,+68.5,07:11,+17.6,07:38,-999,00:00,22.36,16:57,29.44,08:50,29.09,23:59,8.3,20:46,69,0.28,0,0.28,3.629
29,January,+54.9,22:33,+43.9,09:46,98,20:45,28,03:07,+53.1,21:37,+19.4,02:28,+70.9,23:13,+69.3,07:26,+32,23:55,-999,00:00,0.31,12:26,29.09,00:44,28.55,22:59,18.3,23:02,331,0.91,0,0.91,42.16
30,January,+46.6,00:06,+15.8,23:58,89,23:14,33,16:19,+36.9,00:05,+1.2,09:04,+73.9,16:24,+67.8,07:21,-4,05:10,-999,00:00,0.24,00:00,29.59,23:59,28.67,00:29,25.5,00:42,226,0.04,0,0.04,83.719
31,January,+39.9,15:28,+12.9,03:56,98,04:31,29,15:33,+30,23:53,+6.1,05:47,+72.9,15:03,+68.4,09:58,+10.4,04:35,-999,00:00,0,00:00,29.74,10:14,29.29,23:44,10.1,14:36,78,0,1,0.04,18.809
