This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

12,January,+32.7,20:07,+26.4,23:08,80,23:52,50,19:14,+22.1,23:48,+15.6,20:29,+68.5,22:11,+67.6,23:49,+26.4,23:08,-999,00:00,0,19:13,29.41,21:27,29.32,23:59,0,23:59,108,0,1,0,0
13,January,+37.4,12:35,+20.7,23:58,81,00:35,33,23:59,+29.3,10:51,-3.8,23:58,+68.5,20:21,+67.1,05:56,+1.4,21:53,-999,00:00,0,00:00,29.44,23:59,29.17,13:27,14.1,13:23,283,0.04,0,0.04,30.549
14,January,+33.3,20:40,+9.3,04:52,52,21:11,0,08:09,+16.7,21:08,-8.3,03:13,+68.5,21:50,+67.1,11:51,+1.4,23:04,-999,00:00,0,00:00,29.47,02:57,29.2,16:57,19.7,21:23,297,0,1,0.04,36.045
15,January,+21.2,00:00,+0.7,22:56,44,00:29,0,16:37,+32,23:59,-12.1,21:14,+69.6,16:53,+66.6,23:59,-13,23:06,-999,00:00,0,00:00,29.88,23:59,29.44,00:12,13.2,01:25,292,0,2,0.04,65.697
16,January,+18.7,16:32,-5.1,04:56,26,15:25,0,16:56,+32,13:52,-15.9,23:59,+72.7,14:56,+65.7,01:43,-11.2,12:14,-999,00:00,0,00:00,30,11:27,29.82,23:59,10.1,12:14,291,0,3,0.04,25.717
17,January,+36,23:57,-4.9,03:59,34,23:59,0,10:41,+10.4,23:57,-15.9,10:40,+69.1,04:04,+66.2,10:36,-5.8,04:00,-999,00:00,0,00:00,29.82,00:42,29.12,23:59,13.2,17:11,155,0,4,0.04,19.256
18,January,+37.4,01:55,+26.1,23:18,79,05:42,34,14:39,+28.6,05:40,+6.8,14:18,+68.5,23:30,+67.1,02:04,+15.8,10:44,-999,00:00,0,23:59,29.12,00:57,29,23:59,14.5,01:54,265,0,5,0.04,44.805
19,January,+29.3,13:59,+8.1,23:56,59,00:31,25,14:01,+14.9,00:31,-6,19:36,+72.5,14:12,+67.3,05:51,+5,09:10,-999,00:00,0,23:59,29.09,23:59,28.97,06:42,8.7,15:12,317,0,6,0.04,18.392
20,January,+25.3,14:42,+0.5,07:18,52,20:41,0,23:53,+1,20:41,-7.6,23:32,+70.2,13:07,+65.5,08:52,-4,22:56,-999,00:00,0,00:00,29.38,23:59,29.09,05:57,11,22:56,293,0,7,0.04,21.156
21,January,+34.3,16:49,+0.5,07:18,55,23:59,0,09:54,+32,09:38,-7.6,23:32,+72.1,15:33,+65.5,08:52,-4,22:56,-999,00:00,0,00:00,29.44,11:42,29.09,05:57,11,22:56,293,0,8,0.04,18.235
22,January,+52.2,16:20,+14.9,03:18,71,03:36,21,17:08,+18.3,23:59,+3.4,07:36,+73.2,16:18,+67.6,09:26,+14,03:18,-999,00:00,0,00:00,29.35,11:27,29.26,23:59,9.2,14:54,214,0,9,0.04,10.694
23,January,+59.9,15:06,+26.4,01:51,77,02:23,24,16:19,+27.3,18:29,+10.2,22:37,+73.8,15:52,+67.6,06:27,+19.4,23:21,-999,00:00,0,00:00,29.38,23:59,29.12,15:42,12.3,23:21,250,0,10,0.04,28.571
24,January,+35.4,11:03,+13.5,23:59,49,23:29,25,16:24,+13.3,00:01,-4.4,21:09,+69.3,00:00,+67.5,23:57,+13.5,23:59,-999,00:00,0,00:00,29.62,23:59,29.38,01:27,10.5,06:03,299,0,11,0.04,32.073
25,January,+35.4,11:03,+13.5,23:59,52,22:01,25,16:24,+13.3,00:01,-5.1,12:57,+69.3,00:00,+67.5,23:57,+13.5,23:59,-999,00:00,0,00:00,29.62,11:42,29.38,01:27,10.5,06:03,299,0,12,0.04,2.683
26,January,+30.4,11:54,+18.7,06:03,56,00:48,31,11:57,+6.6,00:48,+0,12:55,+68.9,11:23,+67.5,06:40,+14,03:35,-999,00:00,0,00:00,29.68,11:39,29.59,15:27,6.7,13:59,284,0,13,0.04,2.951
27,January,+32.7,23:58,+21.7,08:07,74,23:16,42,12:26,+24.6,23:28,+4.1,00:10,+68.9,18:33,+67.5,08:40,+17.6,11:48,-999,00:00,0,00:00,29.65,10:27,29.2,23:59,6.7,11:48,62,0,14,0.04,3.003
28,January,+33.4,09:47,+23.7,23:43,94,11:39,50,13:51,+31.6,11:39,+10.2,15:29,+69.6,12:44,+67.5,07:24,+23,23:59,-999,00:00,0,00:00,29.32,23:59,28.94,08:57,0,23:59,88,0,15,0.04,0
29,January,+28.8,13:38,+22.3,07:42,71,23:59,44,13:41,+17.6,23:59,+6.3,10:50,+68.7,14:42,+67.1,07:54,+22.3,07:42,-999,00:00,0,23:59,29.35,10:42,29.29,23:59,0,23:59,88,0,16,0.04,0
30,January,+30.4,15:04,+19.2,23:52,76,20:41,34,15:05,+19.6,04:11,+3.9,13:53,+72,15:29,+66.9,08:34,+19.2,23:53,-999,00:00,0,00:00,29.38,23:59,29.29,08:12,0,23:59,88,0.04,0,0.04,0
31,January,+34.3,16:35,+2.8,08:04,86,23:03,0,09:41,+25.3,23:20,-5.3,02:33,+72.7,14:44,+67.1,07:58,+2.8,08:04,-999,00:00,0,00:00,29.47,12:13,29.2,23:59,0,23:59,88,0,1,0.04,0
