This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
1,July,+92.7,17:10,+52.2,06:13,98,08:31,15,18:40,+58.6,08:37,+34,12:43,+73.8,17:36,+68.9,08:35,+51.8,06:18,+88.2,17:10,0,00:00,29.35,23:59,29.26,05:02,10.1,14:50,281,0,3,0.04,8.689
2,July,+92.8,16:28,+50.5,06:24,98,08:47,17,16:31,+63.1,08:46,+37.8,10:36,+73.8,18:48,+69.1,08:38,+50,06:32,+85.1,12:24,0,23:59,29.35,12:47,29.23,22:02,9.2,16:46,204,0,4,0.04,25.069
3,July,+90.9,13:12,+65.7,06:39,97,23:59,21,13:16,+68.2,23:53,+41.2,11:43,+73.2,13:50,+69.8,08:50,+64.4,17:08,+81.3,10:13,0.04,16:12,29.32,23:59,29.23,06:02,10.5,16:37,178,0.12,0,0.12,19.219
4,July,+80.2,17:03,+66.9,06:54,98,23:59,44,17:05,+69.3,02:21,+55.6,17:05,+71.8,19:01,+69.6,09:16,+66.2,06:54,+81.3,17:03,0.91,22:22,29.32,15:02,29.26,23:17,4,15:47,138,0.67,0,0.67,0.633
5,July,+92.3,17:06,+67.1,06:37,98,08:23,27,17:08,+69.8,08:22,+48.2,14:47,+73.6,19:29,+69.4,07:41,+67.1,06:38,+91,17:06,0.43,00:00,29.29,23:59,29.23,19:17,5.8,14:14,106,0.04,0,0.04,1.185
6,July,+97.5,16:18,+66.2,07:02,98,08:31,18,18:57,+69.3,01:00,+42.8,19:07,+76.1,18:11,+70.3,07:23,+66.2,07:27,+94.5,16:18,0,00:00,29.32,13:47,29.26,23:47,6.3,16:22,170,0,1,0.04,9.233
7,July,+97,16:39,+64,06:11,98,08:55,17,17:53,+70,08:55,+41.2,18:33,+75.2,17:54,+69.6,07:59,+64,06:11,+84.2,10:39,0,00:00,29.35,13:47,29.26,23:32,7.6,18:10,269,0,2,0.04,13.376
8,July,+96.3,12:54,+65.3,06:26,98,23:59,27,14:22,+70.2,08:12,+50.4,21:36,+74.1,18:46,+69.4,07:20,+65.3,06:26,+96.1,13:13,3.15,21:39,29.29,12:17,29.17,20:47,8.3,21:30,277,0.47,0,0.47,27.699
9,July,+90,17:49,+65.8,23:59,98,08:04,30,18:57,+72,14:21,+49.6,19:16,+72.7,11:16,+69.6,07:30,+65.8,23:59,+77.7,09:39,2.44,13:57,29.32,23:59,29.17,05:46,8.1,11:55,260,0.2,0,0.2,7.504
10,July,+95.7,18:11,+57.2,06:35,98,08:35,16,18:17,+63,08:31,+37.2,13:44,+73.6,18:42,+68.9,08:09,+57.2,07:06,+91.4,18:06,0,23:59,29.44,13:31,29.32,05:01,6.3,14:01,289,0,1,0.2,4.754
