This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

1,July,+78.3,16:53,+51.4,06:34,93,07:41,28,18:00,+54,08:06,+41.4,09:58,+71.1,14:01,+68.2,18:20,+51.4,06:34,+77.4,17:57,0,00:00,29.62,13:02,29.53,22:32,8.3,16:20,292,0,3,1.34,9.911
2,July,+81.9,17:38,+54.3,05:31,86,02:05,24,18:19,+52.5,01:52,+40.5,18:19,+70.7,10:28,+68,20:28,+53.6,05:31,+79.5,17:39,0,00:00,29.62,09:02,29.47,23:59,8.1,07:46,122,0,4,1.34,11.394
3,July,+88.3,18:39,+51.8,06:46,96,08:11,27,15:05,+59.7,23:54,+48.4,13:33,+70.5,09:54,+67.5,22:03,+51.8,07:09,+86.9,18:37,0,00:00,29.5,10:32,29.38,23:59,6.3,15:42,264,0,5,1.34,6.729
4,July,+92.3,17:00,+63.9,06:48,96,07:59,30,16:19,+69.4,23:59,+55.9,16:19,+69.3,11:42,+67.1,20:28,+63.9,06:48,+93.2,15:10,0,00:00,29.41,11:32,29.32,22:17,7.2,15:46,304,0,6,1.34,14.725
5,July,+92.8,17:04,+69.4,06:34,97,08:35,28,17:48,+74.1,09:06,+54.1,17:48,+68.9,10:39,+66.7,21:17,+69.4,06:34,+93.6,15:51,0,00:00,29.38,13:18,29.32,21:32,6.3,15:05,131,0,7,1.34,10.202
6,July,+92.8,17:22,+68.2,04:57,97,09:05,29,17:13,+75.6,09:32,+54.9,13:39,+68.7,14:18,+66.6,09:54,+68,07:01,+89.4,10:13,0,00:00,29.41,14:47,29.35,21:17,5.8,16:35,277,0,8,1.34,3.748
7,July,+93.9,17:01,+69.3,06:55,97,08:03,27,15:49,+73.6,08:47,+53.8,14:52,+69.8,12:12,+66.6,21:24,+69.3,06:55,+94.6,12:31,0,00:00,29.44,13:47,29.35,21:47,6.7,13:18,297,0,9,1.34,5.283
8,July,+94.1,17:18,+68.7,05:10,97,08:48,29,18:20,+75,09:32,+54.9,14:17,+68.9,12:09,+66.7,21:32,+68,05:10,+87.3,10:18,0,00:00,29.41,08:47,29.26,22:32,8.3,22:48,256,0,10,1.34,8.354
9,July,+78.8,10:38,+69.8,23:59,94,23:59,67,10:38,+71.6,16:38,+64.8,19:41,+68.9,22:27,+67.3,00:04,+68,20:36,+81.9,10:35,2.01,14:39,29.29,01:32,29.17,19:17,13.2,19:35,255,1.81,0,1.81,9.956
