This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
1,June,+92.8,17:36,+58.3,06:14,98,08:06,18,18:33,+63.3,08:06,+37.2,15:31,+73.8,16:52,+69.3,07:11,+58.3,06:14,+88.5,17:36,0,00:00,29.26,23:59,29.17,20:31,14.5,15:34,277,0,5,0.08,32.047
2,June,+97.7,17:02,+52.7,06:17,98,08:25,13,17:03,+59.7,08:24,+36.3,13:24,+73.9,18:18,+69.1,08:49,+52.7,06:18,+87.6,12:16,0,00:00,29.32,09:16,29.23,23:59,7.2,14:14,285,0,6,0.08,4.248
3,June,+77.5,10:00,+63,02:20,98,23:59,40,10:04,+68.2,16:05,+45.7,00:26,+71.2,00:18,+69.4,09:29,+62.6,14:36,+78.3,10:00,2.76,14:34,29.23,01:46,28.97,22:01,8.7,17:23,118,1.18,0,1.18,7.631
4,June,+82.6,18:23,+65.7,23:27,98,23:59,47,12:56,+71.1,19:54,+56.3,12:55,+71.8,19:53,+69.6,05:59,+62.6,10:36,+80.4,12:57,4.65,14:21,29.17,20:31,29,14:16,13.2,09:49,315,1.61,0,1.61,9.971
5,June,+100.9,16:11,+61.5,06:23,98,08:54,24,18:12,+72,08:51,+53.1,17:43,+73.9,19:03,+69.4,08:25,+60.8,06:23,+103.1,16:16,0,00:00,29.29,23:59,29.12,00:47,8.3,17:15,265,0,1,1.61,29.555
6,June,+101.8,16:18,+64.9,05:41,98,08:41,20,17:03,+72.7,08:39,+51.3,17:03,+74.1,19:38,+69.6,09:01,+64.4,06:56,+103.6,16:17,0,00:00,29.41,11:46,29.29,01:46,8.7,14:44,93,0,2,1.61,26.999
7,June,+91.9,17:47,+69.4,05:45,98,03:10,33,12:39,+72,21:46,+56.5,11:28,+73.8,17:38,+70,08:15,+69.4,05:45,+92.3,12:38,0,00:00,29.41,16:01,29.32,23:59,8.7,13:10,285,0,3,1.61,21.506
8,June,+101.3,16:39,+68.4,06:21,98,08:26,18,16:39,+72.9,08:35,+49.5,18:42,+74.7,19:20,+69.8,08:25,+68,06:34,+101.1,15:52,0,00:00,29.35,14:02,29.23,23:59,8.1,16:57,318,0,4,1.61,25.218
9,June,+100.8,16:20,+68.4,06:17,98,08:01,17,16:47,+72.1,08:05,+46,15:42,+74.1,18:59,+70,07:49,+68,06:40,+99.5,16:00,0,23:59,29.29,09:01,29.2,23:59,8.3,15:01,160,0,5,1.61,27.938
10,June,+89.8,16:57,+59.7,23:59,98,07:10,20,19:30,+68.9,07:54,+37.6,20:01,+73.8,17:01,+70,08:26,+59,23:59,+88,14:57,4.96,02:06,29.35,23:59,29.17,03:46,15,02:07,324,1.38,0,1.38,41.072
13,June,+68.9,23:05,+67.6,23:59,95,23:59,90,23:23,+67.1,23:05,+65.1,23:23,+72.3,23:15,+71.6,23:59,+64.4,23:07,+75.4,23:43,1.02,23:04,29.38,23:59,29.38,23:59,8.1,23:05,170,0.08,0,0.08,1.364
14,June,+90.5,18:09,+66.2,05:55,98,08:49,29,18:10,+69.1,09:03,+51.1,18:15,+73,18:54,+69.8,08:51,+66.2,06:41,+90,18:09,0.12,00:00,29.38,00:01,29.23,21:01,6.3,17:08,263,0.04,0,0.04,11.133
15,June,+98.1,17:00,+62.8,03:08,98,08:21,16,18:54,+67.3,00:23,+39.2,18:12,+73.9,18:03,+69.6,08:17,+62.6,03:11,+94.5,15:38,0,00:00,29.29,11:01,29.17,21:16,7.6,23:57,284,0,1,0.04,13.6
16,June,+90.5,15:48,+63,02:57,98,23:41,24,15:46,+68.7,12:46,+43.2,00:10,+73.6,17:35,+69.6,08:42,+59,23:40,+88.2,15:48,1.65,17:58,29.23,00:46,29.09,18:16,9.6,23:40,259,0.16,0,0.16,23.794
17,June,+83.8,17:50,+49.3,06:29,98,07:42,20,18:45,+54,00:00,+32.2,20:02,+72.9,17:16,+69.1,08:52,+49.3,06:29,+80.1,17:50,0,00:00,29.29,12:32,29.17,00:02,10.5,12:14,276,0,1,0.16,37.893
18,June,+88,16:26,+50.9,06:38,98,23:59,18,16:31,+61.2,18:58,+32.2,16:51,+73,17:47,+68.7,08:49,+50.9,06:38,+83.7,16:26,1.26,18:24,29.23,02:17,29.14,20:01,12.3,12:51,278,0.08,0,0.08,24.338
19,June,+89.2,16:41,+51.8,05:13,98,08:44,18,18:59,+61.2,08:56,+33.1,15:54,+73.9,17:59,+69.1,06:29,+51.8,05:21,+84.7,16:41,0,00:00,29.26,23:31,29.17,05:46,9.6,13:23,279,0,1,0.08,21.626
20,June,+91.8,14:58,+56.7,06:30,98,07:25,20,14:59,+59.9,07:25,+42.4,09:54,+73.9,18:40,+69.3,07:58,+56.7,06:30,+88.2,15:02,0,00:00,29.35,23:59,29.23,06:32,8.1,17:38,206,0,2,0.08,24.733
21,June,+91,11:49,+60.1,23:59,98,23:59,20,18:46,+61.7,21:18,+40.8,19:06,+73.8,17:51,+69.4,08:47,+60.1,23:59,+88.7,11:49,0.08,21:09,29.35,13:01,29.23,18:46,11.4,19:58,321,0.08,0,0.08,25.285
22,June,+93.4,15:32,+58.5,02:27,98,08:49,16,16:57,+68,08:49,+36.5,18:00,+73.8,18:07,+69.4,09:15,+58.5,02:28,+88.9,15:32,0,00:00,29.29,00:01,29.17,19:32,8.1,14:32,293,0,1,0.08,12.333
23,June,+88.2,14:32,+53.4,06:21,98,23:59,20,14:37,+61.5,21:51,+37.8,12:07,+73,14:45,+69.3,08:53,+53.4,06:22,+84.7,14:32,0,00:00,29.38,23:47,29.2,04:47,8.3,16:21,280,0,2,0.08,13.555
24,June,+94.8,16:11,+58.3,06:38,98,08:38,16,16:09,+60.6,02:15,+35.4,13:56,+73.6,18:16,+69.3,07:25,+58.3,06:39,+90.5,16:11,0,00:00,29.5,22:32,29.35,00:01,8.3,16:19,276,0,3,0.08,13.399
25,June,+97.2,15:37,+57.2,06:38,98,08:07,17,18:19,+61.9,08:10,+40.1,13:18,+73.9,18:58,+69.3,08:36,+57.2,07:04,+81.9,09:49,0,00:00,29.53,09:16,29.32,23:59,8.1,16:52,222,0,4,0.08,17.162
26,June,+96.8,15:28,+68,23:59,98,23:59,21,15:32,+73.2,14:00,+48.7,15:34,+73.8,17:35,+69.6,06:43,+68,23:59,+95.7,15:27,0.94,13:39,29.32,09:16,29.17,21:01,16.3,17:09,190,0.35,0,0.35,26.44
27,June,+95.4,15:12,+65.8,05:11,98,08:37,26,15:14,+70.3,08:35,+50.7,15:25,+73.6,19:01,+69.6,08:35,+65.8,05:11,+94.5,15:12,0.31,07:01,29.23,14:17,29.17,23:01,8.7,15:33,166,0.12,0,0.12,21.551
28,June,+96.3,17:10,+67.1,23:35,97,23:59,24,17:10,+67.3,12:00,+52.3,18:45,+74.3,18:50,+70.2,08:53,+67.1,23:35,+95.4,17:18,0,00:00,29.2,00:46,29.09,18:47,12.3,18:44,285,0.04,0,0.04,39.57
29,June,+90.1,15:10,+66.7,22:17,98,00:54,25,17:26,+69.4,00:54,+42.6,20:06,+73.4,17:11,+70,07:57,+66.2,22:18,+88.3,15:10,0,00:00,29.17,02:01,29.06,17:32,12.3,17:29,288,0,1,0.04,46.851
30,June,+76.1,10:24,+56.7,23:59,90,23:59,33,15:49,+59.5,11:36,+40.5,16:25,+72.1,16:31,+69.4,07:39,+56.7,23:59,+76.6,10:24,0,00:00,29.29,23:59,29.12,06:02,13.2,14:30,294,0,2,0.04,32.178
