This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

1,June,+103.1,17:16,+65.5,23:59,77,06:03,10,18:23,+60.1,08:07,+25.2,20:17,+70.7,12:29,+68,19:55,+65.5,23:59,+97.3,17:16,0,00:00,29.26,14:32,29.17,22:01,8.7,11:07,252,0.04,0,0.04,8.913
2,June,+98.4,16:41,+62.6,05:13,69,07:41,11,18:49,+58.3,07:41,+27.3,21:25,+80.6,20:38,+68.9,17:28,+62.6,05:54,+89.4,11:50,2.32,21:57,29.2,10:01,29.03,19:16,10.1,21:32,289,0.35,0,0.35,30.3
3,June,+100.2,15:32,+62.6,06:14,77,02:03,10,16:46,+57.2,02:01,+27,19:49,+89.6,16:45,+72,23:59,+62.6,06:38,+94.1,15:32,0.51,00:00,29.17,13:17,29.09,20:16,10.1,10:05,254,0,1,0.35,15.09
4,June,+99.3,14:40,+63.7,06:20,76,07:45,10,14:40,+61.3,07:53,+28,09:59,+93.7,19:51,+64.9,06:40,+63.7,06:20,+93.2,14:40,0,00:00,29.23,13:31,29.12,22:17,8.7,16:53,150,0,2,0.35,26.306
5,June,+97.3,18:32,+67.8,05:04,68,07:04,11,18:41,+60.8,07:49,+30.7,18:45,+99,20:00,+68.9,05:35,+67.8,05:04,+78.4,09:53,0,00:00,29.2,14:46,29.03,23:59,11.4,14:02,282,0,3,0.35,32.99
6,June,+90.5,17:21,+61.5,21:58,45,10:52,12,17:21,+51.1,10:52,+22.3,20:19,+95.2,19:56,+65.5,23:59,+60.8,21:58,+84.7,17:21,0,00:00,29.23,20:16,28.97,11:31,15,14:22,301,0.04,0,0.04,68.808
7,June,+94.3,15:39,+55.8,05:56,74,07:43,11,15:39,+52.3,07:43,+21.6,20:21,+87.8,19:41,+56.7,06:48,+55.4,23:59,+82.4,11:33,0,00:00,29.38,20:31,29.14,05:31,9.2,12:37,275,0,1,0.04,18.809
8,June,+92.3,17:02,+51.6,06:30,78,07:52,12,17:08,+54.3,07:52,+23.2,09:15,+84.9,16:36,+52.9,06:39,+51.6,06:30,+86.4,17:02,0,00:00,29.5,14:01,29.29,23:59,8.1,22:42,33,0,2,0.04,10.105
9,June,+78.3,19:04,+63.3,03:57,68,23:59,23,01:54,+58.5,23:59,+26.8,03:50,+80.1,20:09,+65.5,04:16,+62.6,03:57,+77,19:07,0.24,15:24,29.32,00:47,29.12,18:31,9.6,15:09,294,0.35,0,0.35,11.223
