This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
1,March,+48.6,15:02,+31.1,23:54,78,23:31,37,16:20,+29.7,00:18,+17.4,02:56,+73.2,15:54,+68,08:30,+19.4,02:26,-999,00:00,0,00:00,29.5,22:59,29.35,00:29,15.4,02:26,263,0,1,0.16,69.315
2,March,+67.5,14:25,+27.9,07:31,86,07:42,24,15:28,+39.2,18:25,+21.6,08:25,+74.8,15:00,+68.4,05:34,+27.9,07:31,-999,00:00,0,00:00,29.5,09:45,29.32,23:44,8.3,14:36,144,0,2,0.16,19.912
3,March,+77.9,16:18,+53.4,00:30,85,23:59,22,16:29,+52.5,23:59,+27,09:01,+75.2,16:45,+69.4,07:25,+48.2,07:08,+75.9,16:17,0,23:59,29.35,00:30,29.06,19:29,14.5,13:41,225,0,3,0.16,72.903
4,March,+56.8,00:02,+39.6,23:59,98,21:02,65,23:50,+53.8,00:23,+29.1,23:57,+74.3,00:09,+69.1,23:59,+26.6,23:56,-999,00:00,0.63,17:04,29.12,03:14,28.73,18:00,12.8,23:22,248,1.26,0,1.26,32.129
5,March,+39.6,00:01,+32,08:11,98,05:01,54,16:42,+34.2,04:54,+20.7,13:27,+69.8,15:36,+68,03:44,+19.4,11:48,-999,00:00,0,00:00,29.35,23:59,28.91,01:15,11.9,01:27,203,0,1,1.26,46.273
6,March,+61.3,15:20,+25.5,06:00,98,08:23,34,15:23,+39.6,08:24,+25,06:00,+74.5,17:08,+68.5,07:29,+24.8,06:04,-999,00:00,0,00:00,29.41,13:30,29.32,17:30,8.3,22:36,285,0,2,1.26,10.686
7,March,+38.8,00:02,+27.1,23:58,98,12:57,76,08:20,+36.7,00:19,+24.1,19:37,+71.4,00:11,+68.9,06:50,+23,14:38,-999,00:00,0.12,09:53,29.38,00:00,29.03,23:59,8.7,14:38,298,0.12,0,0.12,18.064
8,March,+27.3,00:03,+12.2,21:13,93,23:04,60,13:46,+24.8,00:03,+9.1,21:13,+70.3,19:05,+68.5,08:16,+12.2,22:49,-999,00:00,0,00:00,29.44,23:59,28.85,07:59,2.7,14:10,287,0.04,0,0.04,0
9,March,+52.3,16:55,+9.5,06:11,96,09:32,31,11:47,+29.3,09:32,+6.6,06:11,+72.1,16:19,+68.4,07:32,+8.6,06:11,-999,00:00,0.08,17:31,29.65,13:30,29.44,00:45,6.3,18:34,209,0.2,0,0.2,13.324
10,March,+61,11:56,+27,03:15,98,23:59,27,11:58,+36.5,21:15,+20.5,12:02,+71.6,12:29,+68.7,07:34,+26.6,03:20,-999,00:00,0.08,11:49,29.62,03:44,29.5,20:30,7.2,15:47,229,0.28,0,0.28,2.981
