This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

1,March,+52.2,16:52,+23.7,07:16,73,08:02,26,17:42,+21.4,14:38,+11.7,09:07,+71.4,18:45,+67.8,08:08,+23,07:30,-999,00:00,0,00:00,29.62,12:34,29.47,23:59,8.3,14:44,225,0,1,0.51,17.512
2,March,+55.6,15:26,+29.5,03:50,76,07:59,17,15:28,+28.6,08:25,+6.4,18:37,+72,18:30,+68.2,07:45,+29.5,03:50,-999,00:00,0,00:00,29.71,23:59,29.44,04:03,12.8,14:31,277,0,2,0.51,31.608
3,March,+53.2,16:16,+27.1,07:29,44,07:29,18,17:24,+12.4,12:10,+1.9,23:59,+71.1,19:07,+68,09:29,+15.8,08:09,-999,00:00,0,00:00,29.76,10:19,29.5,23:33,11,15:57,96,0,3,0.51,37.208
4,March,+65.1,15:02,+38.3,00:03,47,11:15,21,01:04,+29.7,13:27,+1.8,00:03,+71.2,23:20,+68.5,08:29,+38.3,00:03,-999,00:00,0,00:00,29.56,10:18,29.38,21:19,11,23:12,146,0,4,0.51,35.658
5,March,+58.1,00:05,+38.7,23:59,81,19:25,27,01:18,+48.7,20:12,+23.5,01:18,+70.9,00:14,+69.1,11:13,+28.4,23:00,-999,00:00,0.16,09:32,29.41,01:19,29.17,21:18,16.3,21:21,261,0.67,0,0.67,63.182
6,March,+38.7,00:00,+31.6,10:05,79,05:01,53,17:29,+32.4,00:00,+18.1,23:59,+70.3,19:00,+68.4,08:26,+17.6,07:22,-999,00:00,0.12,00:31,29.47,23:59,29.23,00:33,12.3,02:46,283,0.31,0,0.31,36.209
7,March,+45.1,15:56,+29.8,07:48,56,00:28,30,15:27,+20.7,13:37,+13.1,10:12,+71.1,15:33,+68.2,08:58,+23,00:48,-999,00:00,0,00:00,29.56,20:03,29.44,03:33,8.1,12:11,293,0,1,0.31,9.345
8,March,+59.7,15:55,+32.7,07:13,51,08:22,19,17:40,+24.6,23:58,+13.5,22:18,+72,18:59,+68,07:49,+32,07:13,-999,00:00,0,00:00,29.59,11:48,29.44,23:59,11,22:43,79,0,2,0.31,22.557
9,March,+55.8,18:46,+40.1,04:55,83,11:01,42,00:00,+44.2,14:43,+24.4,00:00,+70.9,00:02,+68.7,08:21,+30.2,04:42,-999,00:00,0.16,02:02,29.47,02:18,29.12,18:48,11,12:11,89,1.06,0,1.06,37.163
10,March,+53.2,00:00,+33.3,23:59,87,04:34,63,16:03,+46.6,04:33,+26.4,21:37,+70.2,19:12,+68.9,14:57,+21.2,21:02,-999,00:00,0.12,06:36,29.23,23:59,29.09,05:34,12.8,16:31,276,0.59,0,0.59,47.715
11,March,+49.1,17:06,+33.1,06:24,84,00:44,28,17:14,+28.9,00:44,+15.6,19:24,+70.3,18:18,+68,07:56,+19.4,09:34,-999,00:00,0,00:00,29.32,23:18,29.2,03:48,15.4,15:04,294,0.04,0,0.04,58.386
15,March,+60.8,16:22,+46.6,23:59,83,21:08,33,16:28,+44.4,21:08,+27.7,12:58,+70.7,17:15,+69.3,13:03,+37.4,23:36,-999,00:00,0.16,18:51,29.38,23:59,29.26,17:04,10.5,23:36,164,0.24,0,0.24,19.718
16,March,+53.2,17:54,+41.2,23:59,73,10:12,39,18:34,+35.4,10:12,+25.7,18:51,+70.3,19:15,+68.5,07:53,+32,11:53,-999,00:00,0,00:00,29.53,23:33,29.38,06:48,12.3,11:53,316,0,1,0.24,39.093
17,March,+72.7,17:06,+34.3,07:45,85,09:33,19,18:06,+40.5,09:40,+25.7,16:06,+72.9,23:32,+68.5,10:20,+33.8,08:11,+72.5,17:36,0,23:59,29.53,11:49,29.29,23:34,11.9,14:18,130,0,2,0.24,42.298
18,March,+71.2,12:49,+49.3,23:55,76,23:20,24,03:01,+52.5,18:08,+27.3,00:23,+75,17:49,+70.5,10:00,+44.6,20:06,+75.2,15:29,0.24,19:13,29.5,23:59,29.29,05:04,16.8,02:00,172,0.35,0,0.35,54.824
19,March,+60.3,17:25,+38.5,08:21,72,01:20,19,17:35,+39.7,00:02,+14.9,23:51,+73.2,00:11,+68.9,10:42,+35.6,07:21,-999,00:00,0,00:00,29.74,23:59,29.5,00:33,11,14:51,301,0,1,0.35,30.598
20,March,+66.6,18:28,+40.3,04:22,37,07:58,22,18:30,+27.7,18:23,+13.5,02:23,+72,00:09,+68.5,09:23,+28.4,08:05,-999,00:00,0,00:00,29.74,04:34,29.35,23:59,11,08:05,42,0,2,0.35,26.522
21,March,+77.7,16:12,+55.8,00:30,86,23:59,25,16:16,+54.1,23:59,+25.7,00:16,+74.8,19:05,+69.1,08:19,+55.4,00:38,+76.5,16:13,2.13,17:54,29.38,11:34,29.26,19:19,14.5,06:31,256,0.28,0,0.28,61.635
22,March,+75.9,17:23,+51.8,07:35,89,01:38,27,19:02,+58.1,01:31,+34.7,11:33,+76.5,22:28,+70.9,09:43,+51.8,07:48,+74.3,14:20,0,00:00,29.35,09:04,29.03,23:59,8.7,18:20,244,0,1,0.28,6.841
23,March,+77.4,15:33,+49.1,23:59,67,23:59,22,16:40,+43.9,14:05,+30.9,16:40,+75.6,00:08,+72.5,08:30,+41,17:10,+75.7,15:29,4.17,16:42,29.06,00:34,28.7,16:49,27.1,16:37,279,0.24,0,0.24,81.901
24,March,+49.1,00:00,+28.2,23:59,75,02:41,41,20:43,+40.5,00:17,+13.3,21:49,+73,00:02,+67.1,12:49,+19.4,14:26,-999,00:00,2.13,00:00,29.38,22:34,28.88,01:04,15,00:20,235,0.24,0,0.24,40.993
25,March,+40.6,16:35,+26.4,05:27,75,07:25,35,14:28,+21.7,07:25,+13.5,14:28,+70.5,20:01,+68.7,07:14,+26.4,05:27,-999,00:00,0,00:00,29.38,12:04,29.29,19:19,5.4,13:25,292,0,1,0.24,3.54
