This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
1,May,+88.5,15:53,+41.9,05:07,98,06:47,15,15:55,+43.2,06:47,+30.4,19:50,+73.6,18:15,+68,09:13,+41.9,05:07,+84,15:53,0,00:00,29.26,11:46,29.12,22:30,12.8,14:53,230,0,3,0.39,33.404
2,May,+86,12:37,+56.1,06:06,98,23:59,22,14:55,+60.6,20:44,+37,00:05,+74.1,16:21,+70.5,08:59,+55.4,06:06,+82.6,14:37,0,00:00,29.2,21:15,29.09,16:45,13.2,16:52,279,0.04,0,0.04,35.293
3,May,+80.6,16:34,+55.8,23:59,98,10:05,25,18:19,+61.2,09:42,+33.6,23:47,+73,18:05,+70.3,09:46,+48.2,23:52,+79,16:34,0.12,07:04,29.23,23:59,29.03,19:30,17,13:47,204,0.39,0,0.39,47.853
4,May,+79.2,16:56,+40.1,07:06,98,07:57,18,18:06,+47.8,07:57,+27.5,19:55,+73.6,17:48,+68.7,10:08,+40.1,07:06,+76.3,16:56,0,00:00,29.41,13:16,29.23,00:01,12.8,00:43,284,0,1,0.39,19.99
5,May,+85.6,15:59,+37.9,06:21,98,08:19,16,16:36,+47.7,08:21,+27.9,19:10,+73.8,17:46,+67.5,08:28,+37.4,06:51,+81.5,15:59,0,00:00,29.41,12:16,29.32,21:31,8.3,12:44,264,0,2,0.39,11.402
6,May,+86.4,16:54,+47.5,02:45,92,05:01,18,16:54,+48.9,05:01,+33.3,16:15,+74.1,16:15,+69.3,09:36,+47.5,02:45,+82,16:54,0,23:59,29.35,13:01,29.26,23:59,10.1,14:32,263,0,3,0.39,15.284
7,May,+85.1,12:27,+46.8,06:06,98,23:59,19,14:18,+61.2,23:59,+35.1,15:11,+73.8,14:51,+69.1,08:46,+46.4,06:46,+75.6,09:55,0,00:00,29.26,01:45,29.03,20:31,12.3,14:17,160,0.04,0,0.04,23.213
8,May,+69.4,13:36,+58.5,23:59,98,23:59,63,13:42,+63.9,17:48,+55,13:56,+72.5,15:17,+70.5,10:14,+55.4,02:01,+76.1,15:02,0.24,08:23,29.12,09:16,28.91,23:59,10.1,02:01,208,0.71,0,0.71,6.655
9,May,+75,14:11,+54.7,23:59,98,20:09,45,14:11,+62.1,18:29,+49.6,14:17,+72.9,17:18,+70.3,09:28,+51.8,23:56,+77.2,14:11,0.08,00:00,29.06,23:59,28.91,05:01,8.3,23:31,262,0.12,0,0.12,9.874
10,May,+82.6,16:24,+43.2,06:30,98,08:09,20,16:24,+52.3,00:02,+32,17:50,+73.6,18:30,+69.3,08:58,+42.8,06:42,+79.2,16:24,0,00:00,29.23,12:46,29.06,00:15,8.1,09:27,277,0,1,0.12,10.105
