This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

1,May,+75.6,17:22,+56.8,08:31,74,09:58,24,00:51,+50.7,10:59,+24.4,00:06,+75.2,19:48,+71.4,11:34,+53.6,09:40,+75.7,17:24,0,00:00,29.41,12:49,29.29,17:49,10.1,14:50,232,0.12,0,0.12,29.659
2,May,+72.7,13:20,+52.9,23:59,85,06:55,33,13:24,+57.7,07:18,+38.7,13:36,+75.2,19:58,+72.5,08:08,+51.8,21:05,+75.7,11:04,0,00:00,29.44,21:19,29.32,12:34,13.2,12:23,214,0.04,0,0.04,23.869
3,May,+53.1,00:05,+42.6,23:59,85,09:57,62,20:02,+46.8,00:04,+36.1,19:02,+74.3,00:14,+69.6,23:59,+37.4,10:30,-999,00:00,0.55,08:25,29.5,23:59,29.26,06:49,10.5,00:17,297,1.14,0,1.14,18.749
4,May,+52.7,16:49,+38.3,23:58,89,10:26,38,16:54,+45.5,10:26,+27.1,17:33,+70.9,17:43,+68.9,08:07,+38.3,23:58,-999,00:00,0,23:59,29.65,23:59,29.44,04:35,8.7,12:27,315,0.04,0,0.04,8.078
5,May,+66.9,18:06,+36,07:09,88,10:09,17,18:32,+47.8,10:13,+19,14:35,+74.8,19:55,+68.7,08:22,+35.6,07:29,-999,00:00,0,00:00,29.65,10:19,29.35,23:59,8.1,11:10,288,0,1,0.04,17.862
6,May,+68,12:48,+42.6,06:44,80,08:03,22,13:55,+41.2,23:59,+25,13:36,+74.3,20:11,+69.4,09:06,+42.6,06:44,+70.9,12:48,0,00:00,29.35,00:50,29.2,20:05,11.9,12:57,315,0,2,0.04,24.942
7,May,+70.7,12:02,+45.3,06:38,84,08:22,22,13:08,+48.9,23:53,+28.8,13:50,+73.9,19:06,+69.3,08:35,+44.6,06:38,+73.2,11:20,0.08,20:06,29.26,14:19,29.2,23:59,10.1,18:48,143,0.08,0,0.08,21.283
8,May,+69.8,18:31,+50.4,06:05,89,10:03,33,19:07,+53.1,10:03,+38.1,17:24,+75.4,20:18,+70.5,10:59,+50,06:19,+74.5,16:35,3.19,00:18,29.32,23:34,29.17,05:34,6.7,12:26,107,0.71,0,0.71,4.441
9,May,+78.1,18:30,+45.7,06:50,89,08:38,18,18:28,+53.4,08:52,+30.7,18:24,+76.8,17:25,+70.5,09:56,+45.7,06:50,+75.7,17:25,0,00:00,29.38,10:20,29.23,23:59,8.7,11:18,106,0,1,0.71,9.062
10,May,+85.6,15:18,+56.5,07:29,84,23:25,26,11:48,+62.1,17:13,+29.1,05:08,+75.4,14:47,+71.6,09:00,+56.5,07:29,+83.7,15:17,3.03,18:49,29.26,10:05,29.12,16:49,11.9,23:56,291,0.39,0,0.39,10.932
11,May,+88.3,18:03,+61.9,04:54,88,08:24,28,18:22,+62.2,09:11,+49.8,18:22,+75.4,16:19,+72.3,09:03,+59,00:44,+76.1,09:36,0.24,00:12,29.26,13:05,29.17,04:49,7.2,00:42,311,0.12,0,0.12,8.294
12,May,+90.1,15:59,+66.2,06:24,89,09:32,18,16:37,+69.3,09:44,+40.5,16:37,+75.4,15:06,+73.6,07:50,+66.2,07:22,+86,18:00,0,00:00,29.26,12:34,29.14,21:04,9.6,13:13,307,0,1,0.12,20.62
13,May,+84.9,16:32,+64.2,22:11,86,23:59,24,17:53,+61.5,07:34,+42.1,17:53,+75.4,18:17,+74.1,08:05,+64.2,22:11,+82.4,16:37,0.67,18:32,29.17,09:20,29,19:50,15,18:29,192,0.2,0,0.2,17.225
14,May,+74.1,12:26,+61.2,22:13,89,09:13,41,12:31,+64,09:13,+47.8,20:06,+75.2,18:03,+73.2,09:51,+60.8,22:35,+76.5,12:16,0.71,13:27,29.03,03:35,28.88,20:34,7.2,12:49,257,0.12,0,0.12,8.644
15,May,+62.4,00:44,+51.8,23:59,84,00:17,51,14:34,+57.4,00:17,+40.6,09:51,+74.3,00:17,+72.1,19:13,+46.4,23:58,-999,00:00,0.04,23:07,29,23:59,28.91,11:20,9.2,03:04,283,0.16,0,0.16,34.324
16,May,+53.1,14:49,+47.5,23:59,80,04:55,47,14:54,+45,00:06,+32.5,15:05,+72.7,00:29,+69.4,19:55,+41,19:20,-999,00:00,0.04,00:00,29.17,23:35,28.97,04:19,10.1,18:44,318,0.08,0,0.08,19.42
17,May,+51.1,21:16,+47.5,00:00,84,23:59,67,00:00,+45.3,23:59,+37,00:00,+70.3,23:09,+69.8,23:59,+47.5,00:00,-999,00:00,0.08,21:52,29.14,00:00,29.03,23:59,4.9,22:44,279,0.35,0,0.35,8.547
18,May,+59.7,14:10,+50,06:05,88,09:14,45,14:10,+49.1,09:14,+38.1,16:49,+72.5,22:35,+68.2,09:42,+50,08:04,-999,00:00,0.04,23:59,29.23,23:49,29.03,05:50,7.6,14:11,200,0.04,0,0.04,11.111
19,May,+69.3,17:19,+53.4,02:35,82,09:21,34,17:48,+51.8,09:57,+38.3,17:48,+73.4,23:32,+69.6,09:31,+53.4,02:35,+74.8,16:37,0,00:00,29.35,23:59,29.2,00:50,7.6,16:58,138,0,1,0.04,12.512
20,May,+80.1,16:16,+56.7,07:27,77,07:41,21,16:27,+51.3,07:44,+34.7,16:36,+75.7,15:06,+71.2,08:25,+56.7,07:27,+77.4,16:14,0,00:00,29.38,12:20,29.32,21:35,10.5,11:35,278,0.04,0,0.04,18.086
21,May,+84,15:42,+53.4,06:43,87,08:45,20,15:50,+60.4,09:02,+37.8,15:24,+74.3,14:51,+71.1,09:27,+53.4,06:44,+80.6,16:15,0,00:00,29.35,12:20,29.23,23:50,6.3,14:47,104,0,1,0.04,7.802
22,May,+88.3,16:21,+61.5,06:56,84,23:59,20,16:29,+62.4,08:33,+41.5,15:39,+74.8,13:04,+73,09:21,+60.8,19:44,+84.6,16:21,3.7,19:15,29.32,20:20,29.2,19:19,12.8,19:17,245,0.67,0,0.67,21.678
23,May,+85.5,17:01,+61.5,06:16,89,07:12,22,17:56,+61.7,07:12,+41.5,17:56,+74.3,18:42,+72,10:22,+57.2,21:19,+82.6,16:55,0.28,08:08,29.23,22:51,29.09,19:35,23.7,21:03,311,0.63,0,0.63,48.345
24,May,+78.4,17:59,+61.5,05:35,89,08:54,33,18:49,+63.5,08:54,+46.6,18:49,+74.5,18:57,+72.3,09:06,+60.8,05:35,+78.1,17:59,0.08,00:00,29.23,23:59,29.14,06:20,6.7,17:37,271,0,1,0.63,17.751
25,May,+88.2,17:20,+60.4,03:39,89,09:24,23,18:40,+63.5,09:24,+44.6,18:40,+74.3,15:32,+72.1,08:27,+60.4,03:39,+86,17:05,0,00:00,29.23,03:50,29,22:05,10.1,16:43,110,0,2,0.63,28.929
26,May,+77.9,13:57,+63.3,07:39,77,05:18,31,17:42,+57,21:06,+41.2,02:54,+74.7,20:01,+72.9,08:48,+62.6,07:40,+77.5,13:52,0.08,03:53,29.14,23:59,29,02:20,15.4,18:55,275,0.16,0,0.16,52.563
27,May,+71.2,13:58,+58.5,23:38,82,04:19,35,15:27,+58.5,04:09,+41.2,16:41,+74.7,15:48,+73,07:32,+58.5,23:38,+75.2,20:08,0,00:00,29.26,12:05,29.14,04:49,8.7,10:39,329,0,1,0.16,25.478
28,May,+81.9,16:37,+56.7,06:48,86,09:07,26,15:58,+58.1,09:21,+42.6,15:19,+74.3,18:04,+71.8,09:45,+56.7,06:48,+80.1,16:37,0,00:00,29.26,12:50,29.2,22:20,8.7,15:06,119,0,2,0.16,19.755
29,May,+92.1,17:46,+63.5,06:08,81,06:42,18,17:59,+58.5,06:57,+41.7,17:59,+74.3,14:38,+72.5,08:49,+63.5,06:08,+88.9,16:00,0,00:00,29.38,23:59,29.23,04:20,10.1,13:56,251,0,3,0.16,30.039
30,May,+93.7,16:45,+64.8,06:35,87,08:42,18,15:49,+68.7,08:49,+43,15:49,+74.5,13:07,+72.9,09:10,+64.4,07:15,+90.5,16:45,0,00:00,29.5,23:59,29.38,05:35,9.6,17:11,190,0,4,0.16,19.457
31,May,+94.8,15:43,+67.3,07:00,88,08:36,19,15:57,+71.4,09:18,+44.2,14:18,+74.8,21:14,+73,08:11,+67.3,07:00,+92.3,16:17,0,00:00,29.56,13:35,29.44,18:20,6.3,18:25,168,0,5,0.16,16.663
