This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
1,November,+77,17:15,+34.5,08:11,93,09:59,15,17:25,+42.8,10:30,+22.1,11:37,+76.5,15:34,+67.6,10:19,+33.8,08:11,+73.8,17:15,0,23:59,29.68,01:41,29.56,23:59,6.7,14:38,225,0,6,0.04,1.923
2,November,+76.8,15:27,+43,07:18,91,08:30,18,16:31,+47.5,09:13,+25.7,16:44,+75.7,15:31,+68.7,09:24,+42.8,07:30,+74.3,15:27,0,00:00,29.62,11:26,29.53,22:41,4.9,14:14,224,0,7,0.04,0.201
3,November,+79.7,16:06,+41.2,06:32,95,08:46,15,16:34,+51.1,09:16,+18.5,17:22,+75.6,16:08,+68.7,09:25,+41,07:18,+75.7,16:06,0,00:00,29.62,11:56,29.53,21:55,5.8,15:18,163,0,8,0.04,0.156
4,November,+76.8,16:12,+37,06:50,90,09:20,15,16:32,+44.2,09:35,+16.2,17:57,+77,15:11,+68.9,08:46,+37,06:50,+73.6,16:12,0,00:00,29.56,11:26,29.41,23:59,5.4,16:03,61,0,9,0.04,0.134
5,November,+76.3,16:23,+36.5,07:01,91,09:23,15,16:25,+43.7,09:29,+20.1,16:55,+75,15:32,+67.3,09:42,+36.5,07:01,+73.2,16:23,0,00:00,29.44,11:26,29.32,23:59,5.8,13:42,127,0,10,0.04,0.38
6,November,+77.2,16:18,+35.4,07:25,96,09:35,15,16:33,+46,09:48,+16.5,17:52,+75,15:15,+67.5,08:19,+35.4,07:25,+73.9,16:18,0,00:00,29.35,11:41,29.23,23:59,6.7,13:23,51,0,11,0.04,0.514
6,November,+77.2,16:18,+35.4,07:25,96,09:35,15,16:33,+46,09:48,+16.5,17:52,+75,15:15,+67.5,08:19,+35.4,07:25,+73.9,16:18,0,00:00,29.35,11:41,29.23,23:56,6.7,13:23,51,0,11,0.04,2.414
7,November,+77.2,16:18,+35.4,07:25,96,23:33,15,16:33,+46.9,23:26,+16.5,17:52,+75,15:15,+67.5,08:19,+35.4,07:25,+73.9,16:18,0,00:00,29.35,11:41,29.06,23:59,6.7,13:23,51,0,12,0.04,0.082
8,November,+54.5,12:57,+38.7,04:19,98,08:34,25,13:51,+44.6,01:51,+15.1,23:41,+69.3,00:29,+66.6,09:25,+38.7,04:19,-999,00:00,0,00:00,29.09,23:59,28.97,14:56,10.1,14:19,293,0,13,0.04,17.386
9,November,+45.3,14:28,+35.6,02:14,59,02:15,31,14:39,+23,02:37,+14.4,19:24,+68.9,12:14,+65.8,09:01,+28.4,20:23,-999,00:00,0,23:59,29.35,23:59,29.09,02:55,11.9,13:05,284,0,14,0.04,28.772
10,November,+51.6,16:10,+24.1,23:45,76,23:59,19,16:11,+18.7,22:42,+4.6,17:29,+74.1,15:41,+67.3,08:15,+24.1,23:45,-999,00:00,0,00:00,29.56,23:59,29.35,02:26,9.6,12:17,285,0,15,0.04,31.477
11,November,+47.5,14:29,+22.6,00:57,86,07:02,24,14:58,+30.7,18:01,+11.7,15:31,+68.7,22:42,+67.3,08:39,+22.6,00:57,-999,00:00,0,00:00,29.65,11:41,29.5,23:59,4.5,23:03,93,0,16,0.04,0.089
12,November,+57.7,14:55,+39.6,05:30,69,19:05,25,14:30,+39.2,19:05,+16,08:50,+70.2,20:27,+67.6,08:04,+39.2,06:07,-999,00:00,0,00:00,29.53,00:26,29.26,23:59,6.3,13:33,72,0,17,0.04,0.075
13,November,+66.2,15:31,+46.4,23:00,96,06:01,27,15:32,+49.3,06:01,+27.3,00:57,+71.6,17:04,+68,10:29,+44.6,03:31,-999,00:00,0.16,02:45,29.26,00:11,29.12,23:41,7.6,12:05,163,0.24,0,0.24,6.26
14,November,+67.5,11:09,+46.6,07:27,98,09:41,27,19:15,+54.1,09:41,+28,20:44,+70.5,11:35,+68,09:28,+46.4,07:38,-999,00:00,0.24,23:58,29.14,00:41,28.97,23:59,10.1,16:46,221,0.16,0,0.16,16.454
15,November,+54.5,09:15,+37.6,18:16,98,09:19,49,23:58,+54,09:15,+22.3,23:58,+70.2,00:48,+68,23:59,+23,15:27,-999,00:00,0.24,23:59,29.17,23:59,28.76,09:26,13.2,15:27,276,0.98,0,0.98,48.408
16,November,+39.9,00:19,+28.8,22:12,55,22:31,30,15:30,+23,00:36,+9,15:09,+68.2,22:23,+67.1,09:56,+21.2,11:42,-999,00:00,0,00:00,29.38,21:56,29.17,00:57,12.3,11:42,278,0,1,0.98,46.959
17,November,+41.7,14:25,+29.8,04:15,65,12:34,32,13:31,+27,12:34,+11.7,23:56,+69.1,13:27,+67.3,08:42,+15.8,12:22,-999,00:00,0,00:00,29.5,23:59,29.29,04:11,15,12:22,277,0,2,0.98,41.046
18,November,+37,15:50,+15.4,23:57,70,23:14,22,16:43,+12.4,00:19,-5.1,17:14,+70,16:37,+67.1,09:19,+10.4,07:03,-999,00:00,0,23:59,29.71,21:56,29.5,03:11,13.2,12:40,290,0,3,0.98,48.207
19,November,+35.6,16:35,+13.8,02:00,73,07:57,27,17:15,+15.8,08:10,+1.2,17:51,+68.4,11:29,+66.9,02:13,+13.8,02:00,-999,00:00,0,00:00,29.68,00:11,29.26,23:59,7.2,13:53,163,0,4,0.98,11.692
20,November,+43.7,12:06,+26.6,06:23,77,19:38,23,15:33,+26.6,19:38,+4.6,15:33,+69.1,13:05,+67.3,08:26,+21.2,21:48,-999,00:00,0,00:00,29.44,23:41,29.23,02:26,10.5,12:10,311,0,5,0.98,34.57
21,November,+35.4,16:09,+15.4,23:30,56,23:42,22,16:26,+15.6,00:00,-6.9,18:09,+72.7,15:27,+67.1,08:52,+8.6,11:58,-999,00:00,0,00:00,29.79,23:59,29.41,01:26,15.4,10:50,275,0,6,0.98,59.899
22,November,+37,16:19,+10.4,07:26,72,08:35,22,16:43,+12.9,09:58,-5.1,17:27,+69.3,16:33,+66.9,07:35,+10.4,07:51,-999,00:00,0,00:00,29.88,11:26,29.71,23:59,6.7,13:18,297,0,7,0.98,5.283
