This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

1,November,+63.1,16:11,+30.2,06:57,64,07:14,16,16:14,+27.1,08:52,+3.6,19:41,+74.5,13:24,+67.8,07:06,+30.2,06:58,-999,00:00,0,00:00,29.5,23:12,29.38,03:11,8.7,14:35,267,0,1,0.59,15.59
2,November,+71.2,16:02,+28.4,06:39,60,05:41,14,16:16,+19.9,16:15,+5,20:59,+76.6,11:59,+66.9,06:49,+28.4,07:28,+69.8,16:02,0,00:00,29.53,10:12,29.41,23:59,5.8,14:18,130,0,2,0.59,6.997
3,November,+64.6,16:10,+29.5,23:59,56,03:40,15,16:10,+27.7,03:37,+0,20:38,+77.7,11:58,+68.4,06:21,+29.5,23:59,-999,00:00,0,00:00,29.59,23:59,29.41,02:27,11.9,13:26,279,0,3,0.59,27.051
4,November,+56.3,13:55,+27.3,02:43,50,03:36,17,13:55,+18,08:38,+4.6,18:31,+70.3,14:09,+68,08:36,+26.6,02:47,-999,00:00,0,00:00,29.59,08:36,29.44,23:59,7.6,15:19,313,0,4,0.59,4.114
5,November,+59.5,15:53,+32.4,23:56,78,07:45,17,16:29,+32.4,07:49,+1,19:57,+74.3,11:59,+68,06:20,+32,23:59,-999,00:00,0,00:00,29.62,23:59,29.44,02:56,12.3,13:15,280,0,5,0.59,33.158
6,November,+59.7,10:25,+26.6,06:47,68,06:58,17,14:56,+21.7,09:52,+4.5,23:59,+75.7,11:58,+66.9,07:49,+26.6,07:23,-999,00:00,0,00:00,29.68,11:12,29.44,23:59,6.3,12:41,235,0,6,0.59,5.664
7,November,+72.3,10:32,+35.8,05:37,27,07:33,14,11:06,+20.5,10:32,+1.8,04:11,+70.5,11:13,+67.3,08:03,+35.6,05:47,+70.3,10:33,0,00:00,29.44,03:27,29.35,11:13,14.5,12:14,264,0,7,0.59,5.343
8,November,+80.6,16:10,+44.6,23:59,37,23:39,12,10:45,+28.6,16:10,+9.5,21:29,+76.5,14:45,+68.4,09:58,+44.6,23:59,+74.5,10:46,0,09:50,29.56,23:59,29.47,15:42,8.1,13:55,175,0,8,0.59,10.03
9,November,+72.1,11:20,+39.4,06:05,69,08:18,14,11:30,+36.1,08:28,+9.5,21:38,+72,16:46,+66.9,07:43,+39.2,06:20,+70.3,11:20,0,00:00,29.65,11:12,29.53,00:42,0,23:59,137,0,9,0.59,0
10,November,+64.9,14:27,+45.5,06:39,40,07:17,15,14:59,+23.9,08:31,+10.4,23:40,+70.5,00:13,+68.5,09:46,+45.5,06:39,-999,00:00,0,00:00,29.59,11:42,29.5,15:57,8.7,23:48,63,0,10,0.59,5.537
11,November,+65.8,10:32,+45.7,23:59,20,23:59,15,10:35,+17.1,10:55,+6.4,23:43,+78.8,11:56,+68.4,07:59,+35.6,05:41,-999,00:00,0,00:00,29.53,12:12,29.44,23:59,14.5,14:29,72,0,11,0.59,58.696
12,November,+66.9,16:11,+30.4,07:42,33,07:59,15,16:21,+17.8,16:11,-1.3,06:25,+77.4,11:56,+67.3,08:21,+30.2,07:51,-999,00:00,0,00:00,29.47,02:12,29.32,23:59,8.7,16:29,60,0,12,0.59,28.429
13,November,+69.6,16:26,+31.3,07:26,47,07:51,15,16:39,+19.9,16:26,+1.2,00:05,+77.5,11:56,+67.3,07:38,+28.4,05:48,+69.3,16:26,0,00:00,29.32,11:12,29.2,22:57,8.1,14:04,256,0,13,0.59,8.95
14,November,+78.4,15:59,+35.8,07:27,70,08:10,13,16:34,+30,08:07,+10.6,19:17,+77.5,15:21,+67.3,08:04,+35.6,07:37,+74.8,15:59,0,23:59,29.26,23:59,29.2,18:42,5.4,13:30,78,0,14,0.59,2.683
15,November,+75.7,16:03,+40.3,07:17,58,07:21,13,16:26,+29.7,07:54,+11.8,18:14,+77,11:56,+67.6,08:00,+40.3,07:17,+72.9,16:03,0,00:00,29.35,23:59,29.26,05:57,5.4,15:11,293,0,15,0.59,4.725
16,November,+69.3,14:09,+40.8,07:20,74,08:57,15,16:33,+44.1,08:57,+7.5,20:30,+74.8,14:03,+67.6,08:15,+40.8,07:20,+69.8,14:09,0,00:00,29.35,12:12,29.26,23:57,8.1,14:10,58,0,16,0.59,18.936
17,November,+70.5,14:22,+40.6,06:36,26,06:53,14,14:29,+19.9,14:31,+4.5,05:29,+77,11:56,+67.6,09:27,+40.6,06:36,+69.3,14:31,0,00:00,29.29,23:59,29.23,18:57,9.2,22:07,67,0,17,0.59,20.359
18,November,+59.4,14:50,+50.5,04:30,47,18:03,17,03:31,+32.5,18:03,+11.3,03:31,+70.9,11:58,+67.6,08:29,+46.4,09:30,-999,00:00,0.12,16:20,29.41,11:42,29.29,02:57,7.6,21:12,138,0.2,0,0.2,18.474
19,November,+55.4,11:56,+40.1,21:35,46,06:48,17,11:56,+28.2,06:48,+6.3,18:55,+69.4,00:30,+67.6,10:00,+40.1,21:36,-999,00:00,0,00:00,29.47,10:42,29.35,02:42,9.6,14:43,291,0.04,0,0.04,20.255
20,November,+59.5,16:01,+34.7,23:36,44,08:38,17,16:45,+21.9,09:17,+5,17:43,+77.2,11:56,+67.5,07:37,+34.7,23:36,-999,00:00,0,00:00,29.53,11:57,29.44,17:42,7.6,12:34,244,0,1,0.04,13.429
21,November,+63.3,16:09,+28.9,07:19,52,06:49,16,16:22,+25.2,10:17,+5.2,18:11,+76.8,11:57,+67.1,06:19,+28.4,07:29,-999,00:00,0,00:00,29.5,23:59,29.44,15:42,6.3,14:21,298,0,2,0.04,6.804
22,November,+60.6,10:45,+29.8,06:42,75,09:12,17,16:00,+37.2,09:12,+7.2,17:21,+74.1,14:57,+67.1,07:48,+29.8,06:42,-999,00:00,0,00:00,29.53,08:42,29.38,23:57,8.7,23:10,91,0,3,0.04,20.15
23,November,+55,13:45,+45.7,04:00,45,19:46,19,03:41,+29.7,19:26,+7,03:41,+70.3,21:49,+67.6,09:42,+45.7,04:00,-999,00:00,0,00:00,29.47,11:12,29.38,02:42,4,12:39,67,0,4,0.04,0.693
24,November,+57.7,15:28,+48.9,02:30,49,06:46,22,16:00,+30.9,06:46,+18.3,16:00,+70.3,17:41,+69.3,09:27,+48.2,02:31,-999,00:00,0,00:00,29.47,10:42,29.23,23:59,5.4,12:58,138,0,5,0.04,1.155
25,November,+58.6,10:36,+45.5,23:59,41,04:28,17,15:30,+27,01:24,+7.7,22:09,+77.2,11:57,+69.3,08:17,+42.8,10:05,-999,00:00,0,00:00,29.23,22:12,29.17,23:59,12.8,13:05,304,0.04,0,0.04,41.31
26,November,+50.5,10:55,+37.6,08:21,40,02:52,19,14:09,+19,02:52,+1.6,07:53,+73.8,11:56,+65.8,23:59,+26.6,21:45,-999,00:00,0,00:00,29.2,22:42,29.14,16:27,14.1,11:28,273,0,1,0.04,58.979
27,November,+43.3,13:07,+25,23:59,42,04:22,20,13:07,+16.5,04:22,-3.5,21:06,+69.6,21:08,+65.8,09:20,+15.8,08:29,-999,00:00,0,00:00,29.35,23:59,29.14,04:27,15,08:29,290,0,2,0.04,73.246
28,November,+61.2,16:22,+22.1,07:12,44,09:45,16,16:22,+15.6,16:23,+1.2,00:00,+76.8,11:58,+66.4,06:51,+21.2,07:12,-999,00:00,0,00:00,29.35,11:12,29.2,23:59,8.3,13:39,143,0,3,0.04,15.634
29,November,+65.8,14:39,+39.7,00:00,28,07:55,15,15:11,+20.1,23:24,+5.2,01:48,+75.4,11:58,+67.5,08:00,+39.2,00:03,-999,00:00,0,00:00,29.23,10:57,29.09,23:59,12.3,12:12,201,0,4,0.04,46.795
30,November,+54.1,00:11,+27.9,23:59,53,04:08,19,13:25,+35.1,02:58,+0.9,18:14,+70.2,11:56,+67.5,09:48,+27.9,23:59,-999,00:00,0.12,02:26,29.35,23:59,29.06,01:41,11,08:46,316,0.31,0,0.31,31.157
