This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
1,October,+71.6,16:17,+44.6,23:57,88,22:11,22,16:20,+46.8,22:11,+24.3,16:39,+73.8,16:27,+70.9,09:47,+44.6,23:59,+72.3,17:26,0,00:00,29.2,23:59,29.09,08:10,12.3,15:45,281,0,3,0.04,31.008
2,October,+72.9,17:31,+36.9,07:35,98,08:48,19,18:03,+48.9,08:49,+20.8,12:23,+73.6,15:57,+68.5,10:19,+36.9,07:35,+71.1,12:06,0,00:00,29.26,13:25,29.17,20:25,9.2,13:38,291,0,4,0.04,21.141
3,October,+80.4,16:47,+37.6,07:38,98,08:39,17,16:47,+46.6,08:44,+25.5,17:42,+74.8,16:57,+68.7,09:59,+37.4,07:57,+76.6,16:47,0,00:00,29.38,23:59,29.2,04:25,8.7,12:13,236,0,5,0.04,14.069
4,October,+83.1,17:12,+42.6,07:47,98,08:46,14,17:24,+51.6,08:47,+25.2,17:30,+75.2,14:36,+69.6,11:09,+42.6,07:47,+78.3,17:12,0,23:59,29.5,23:59,29.35,01:10,8.7,17:17,287,0,6,0.04,15.463
5,October,+88.3,16:39,+41.5,07:48,95,08:48,13,17:38,+48.7,08:53,+24.3,18:12,+76.3,16:57,+69.8,11:09,+41,07:49,+82.8,16:39,0,00:00,29.59,11:55,29.5,23:55,7.6,14:21,267,0,7,0.04,1.669
6,October,+88.5,17:16,+44.1,06:37,98,08:46,13,17:29,+50.9,08:46,+20.3,19:09,+75.7,14:27,+69.8,23:45,+44.1,06:37,+82.9,17:16,0,00:00,29.59,13:25,29.5,05:55,8.1,13:48,116,0,8,0.04,3.495
7,October,+82.9,16:22,+47.8,07:56,58,08:00,16,16:23,+40.1,20:40,+26.2,09:55,+73.6,15:36,+68.2,08:47,+47.8,07:56,+78.6,16:22,0,00:00,29.56,09:25,29.29,23:59,7.6,12:08,81,0,9,0.04,1.341
8,October,+75.2,17:34,+58.8,09:03,96,23:59,32,00:03,+63.3,23:59,+36.7,00:17,+71.6,18:16,+68.5,08:11,+57.2,10:54,+76.1,17:34,0.79,05:52,29.29,01:40,29.17,19:55,7.6,14:17,199,0.59,0,0.59,5.06
9,October,+87.1,17:38,+48.4,07:51,98,09:27,13,17:38,+63.9,00:21,+23,18:04,+75.2,16:20,+69.1,08:52,+48.2,23:59,+81.7,17:38,0,00:00,29.41,23:59,29.23,04:25,8.1,00:31,263,0,1,0.59,1.379
10,October,+88,16:42,+42.1,07:50,96,08:35,13,17:40,+50.2,08:43,+27,17:45,+74.3,14:32,+68.4,10:52,+42.1,07:50,+82.9,16:42,0,23:59,29.53,23:59,29.41,04:55,6.3,16:06,109,0,2,0.59,1.736
11,October,+89.6,17:15,+47.3,07:35,95,08:20,12,17:15,+52.7,08:39,+24.4,18:20,+74.8,13:53,+69.8,09:14,+47.3,07:35,+83.8,17:34,0,00:00,29.62,23:59,29.5,00:41,6.3,15:48,127,0,3,0.59,1.297
12,October,+89.1,17:28,+45.9,07:31,98,08:20,13,17:51,+52.5,08:35,+21,19:14,+73.9,16:19,+68,08:53,+45.9,07:31,+83.5,17:28,0,00:00,29.71,13:25,29.59,01:40,7.2,16:14,98,0,4,0.59,0.551
13,October,+93.4,17:07,+45.1,07:30,85,08:22,11,17:07,+44.8,23:51,+25.2,03:07,+73.8,16:40,+68.5,08:38,+44.6,07:37,+87.3,17:07,0,00:00,29.68,13:10,29.56,23:59,5.4,15:40,124,0,5,0.59,0.171
14,October,+87.1,11:48,+50.9,06:51,98,08:25,19,11:50,+59.2,22:58,+33.8,10:48,+73.2,14:11,+69.1,08:25,+50.9,06:51,+82.8,11:48,0,00:00,29.56,10:56,29.44,23:40,13.2,13:40,293,0,6,0.59,10.668
