This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

1,October,+49.1,16:09,+41.5,23:59,67,10:22,44,01:42,+34.5,10:22,+25.5,23:30,+74.5,21:37,+71.6,12:38,+33.8,08:23,-999,00:00,0,00:00,29.44,23:59,29.23,02:13,12.3,18:05,294,0.12,0,0.12,45.517
2,October,+61,17:34,+35.6,07:56,78,04:52,19,19:02,+37,09:33,+15.3,19:02,+74.7,21:40,+71.1,12:08,+35.6,08:19,-999,00:00,0,00:00,29.44,12:13,29.32,19:42,14.5,16:59,293,0,1,0.12,34.018
3,October,+60.4,16:32,+37.6,06:47,77,09:30,28,16:23,+40.1,23:59,+20.3,00:00,+73.9,22:18,+71.4,18:35,+37.4,07:42,-999,00:00,0,00:00,29.5,23:59,29.35,02:42,4,20:01,93,0,2,0.12,0.961
4,October,+71.2,16:15,+44.6,07:54,84,10:27,24,16:27,+51.8,10:36,+31.5,16:42,+73.9,20:44,+71.4,16:23,+44.6,08:25,+73,15:18,0,00:00,29.59,23:59,29.47,01:58,7.6,12:57,279,0,3,0.12,6.617
5,October,+76.5,17:22,+46.4,07:56,85,11:09,21,17:50,+55.8,11:16,+32.4,18:05,+73.9,21:18,+71.6,19:01,+46.4,08:48,+74.7,17:22,0,00:00,29.65,10:57,29.5,18:57,6.3,13:22,196,0,4,0.12,4.367
6,October,+79.7,15:48,+47.5,08:13,84,09:34,15,17:31,+51.1,10:32,+26.8,17:31,+73.2,20:55,+71.1,19:11,+47.5,08:14,+76.1,15:48,0,00:00,29.62,23:59,29.56,19:27,5.8,11:21,88,0,5,0.12,3.219
7,October,+80.8,16:14,+46.4,08:05,84,09:13,14,16:19,+54.7,10:20,+26.6,17:48,+73.2,21:56,+70.5,19:15,+46.4,08:16,+76.8,16:00,0,00:00,29.71,11:43,29.59,03:13,6.3,14:51,55,0,6,0.12,4.844
8,October,+81.3,16:42,+49.8,07:29,82,09:10,14,16:57,+53.6,09:39,+25.5,18:02,+74.1,23:21,+71.4,19:26,+49.8,07:29,+76.8,16:42,0,00:00,29.74,12:28,29.65,20:13,6.3,15:31,118,0,7,0.12,3.719
9,October,+75.9,16:38,+46.4,08:04,84,10:37,15,16:48,+54.7,10:42,+23.9,14:06,+74.5,16:47,+71.6,12:34,+46.4,08:55,+73.8,16:38,0,00:00,29.71,12:28,29.59,23:59,6.3,13:39,94,0,8,0.12,5.283
