This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
1,September,+101.8,17:03,+58.3,06:15,95,05:49,16,17:05,+59.4,20:40,+42.3,09:12,+74.7,18:57,+68.7,08:01,+58.3,06:15,+96.6,16:03,0,00:00,29.44,12:24,29.35,21:24,5.8,13:08,251,0,4,0.08,1.878
2,September,+102.2,16:07,+67.1,07:03,98,07:58,15,16:07,+70.9,08:24,+42.8,17:37,+74.3,18:07,+69.8,06:03,+67.1,07:04,+96.4,12:19,0,00:00,29.41,11:09,29.29,21:24,6.3,16:11,114,0,5,0.08,1.893
3,September,+99.9,15:53,+63.9,07:37,98,08:22,13,15:50,+67.3,08:22,+39.7,15:50,+74.3,15:40,+69.1,08:45,+63.9,07:37,+95.7,15:53,0,00:00,29.32,00:24,29.17,20:24,6.3,15:20,110,0,6,0.08,3.592
4,September,+100,12:28,+63.9,06:46,97,08:01,15,17:13,+68.7,08:30,+38.8,18:54,+73.4,18:31,+69.1,09:03,+63.9,06:46,+96.4,12:28,0,00:00,29.2,13:24,29.09,21:24,8.3,14:21,185,0,7,0.08,8.346
5,September,+91,16:24,+67.1,08:37,79,15:24,28,11:17,+65.7,15:32,+37.6,03:33,+75.6,11:28,+69.3,08:57,+67.1,08:37,+79.9,11:13,0.24,15:06,29.23,11:28,29.12,04:39,8.3,11:30,130,0.08,0,0.08,4.576
6,September,+93.9,17:35,+58.3,23:59,91,07:23,17,17:36,+66.9,01:33,+35.4,19:11,-1766.2,11:28,+1830.2,08:57,+58.3,23:59,+89.4,17:35,0,23:59,-29.5,11:28,295.26,04:39,11,13:22,98,0,1,0.08,20.828
7,September,+90.9,17:58,+55.2,06:49,98,09:10,18,18:05,+63.3,09:09,+35.4,18:34,-1766.2,11:28,+1830.2,08:57,+55.2,06:49,+86.4,17:58,0,00:00,-29.5,11:28,295.26,04:39,10.5,14:20,295,0,2,0.08,24.204
8,September,+96.6,16:05,+55.4,06:57,98,08:31,16,16:06,+60.3,09:07,+37.2,14:02,+75.4,19:27,+72,23:59,+55.4,07:10,+92.3,16:05,0,00:00,29.32,22:25,29.29,23:59,6.3,14:38,232,0,3,0.08,5.455
9,September,+76.5,12:12,+63.1,23:50,98,09:23,38,12:15,+66.2,09:16,+43,23:56,+72.3,14:27,+69.6,23:59,+62.6,23:53,+77.5,12:12,0.39,04:48,29.44,23:59,29.23,04:25,8.7,14:23,294,0.24,0,0.24,9.606
10,September,+89.8,16:05,+54,06:21,69,06:17,15,16:14,+45.9,03:01,+30.9,10:46,+73.2,17:39,+68.5,09:00,+53.6,07:54,+77.9,12:31,0,00:00,29.5,12:52,29.41,16:25,8.1,11:48,108,0,1,0.24,10.41
