This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

1,September,+92.1,18:19,+68.9,03:17,81,06:10,19,19:06,+63.9,06:10,+41.7,15:46,+75,15:29,+73.9,23:59,+68.9,03:17,+88,18:19,0,00:00,29.41,12:27,29.29,23:59,8.1,16:05,136,0,7,0.59,13.809
2,September,+98.4,17:12,+68.7,07:37,84,08:46,13,18:29,+69.1,08:53,+37.8,18:29,+75,14:46,+73.9,23:09,+68,07:38,+93.2,17:12,0,00:00,29.35,11:27,29.26,23:59,8.3,13:35,290,0,8,0.59,11.625
3,September,+99,17:00,+70,07:46,85,09:00,13,18:08,+71.4,09:14,+37.8,18:49,+75.4,17:53,+73.8,23:59,+69.8,08:02,+94.1,15:26,0,00:00,29.29,09:12,29.14,19:57,10.1,22:14,226,0,9,0.59,9.993
4,September,+85.5,16:11,+68.5,23:59,82,23:14,24,16:18,+64.6,22:27,+39,00:22,+75,13:15,+73.6,00:41,+68,23:59,+82.9,16:11,0.51,17:37,29.2,09:27,29.12,18:42,10.1,16:37,295,0.43,0,0.43,6.655
5,September,+68.5,00:26,+59.2,23:59,81,02:41,64,05:16,+62.4,00:26,+50.2,05:16,+75,19:45,+73.8,11:18,+55.4,10:36,+75.7,00:44,2.44,00:28,29.23,23:59,29.12,04:12,8.1,10:36,293,1.22,0,1.22,4.173
6,September,+63.7,15:23,+56.1,06:14,82,23:59,40,15:26,+54.5,23:22,+38.7,15:26,+75,21:16,+72.3,18:39,+50,04:50,-999,00:00,0.12,04:52,29.23,08:12,29.14,19:27,10.1,20:23,353,0.71,0,0.71,10.165
7,September,+66.6,15:57,+59.9,01:54,84,23:59,52,15:59,+59,21:41,+48.2,15:59,+75.2,22:00,+72.7,18:47,+59,01:58,-999,00:00,0.04,00:00,29.23,23:59,29.14,04:42,5.4,17:09,321,0.2,0,0.2,3.748
8,September,+66.9,16:33,+60.3,08:21,86,09:26,40,16:52,+58.3,00:59,+41.4,16:52,+74.8,21:42,+72,17:58,+60.3,08:21,-999,00:00,0,00:00,29.26,23:59,29.2,17:12,5.8,16:50,312,0.08,0,0.08,3.89
9,September,+69.3,16:10,+59.4,07:35,86,10:11,35,16:16,+57,23:51,+39.6,15:25,+75.2,22:07,+72.5,08:08,+59,08:40,+75.2,17:50,0,00:00,29.29,23:59,29.23,18:42,5.4,15:54,131,0,1,0.08,1.274
10,September,+79,15:25,+58.8,06:39,86,10:03,21,15:37,+63.5,10:15,+34.3,15:37,+75.2,13:16,+72,18:59,+58.8,06:39,+76.3,15:27,0,00:00,29.35,23:59,29.29,18:57,6.3,15:12,268,0,2,0.08,5.5
11,September,+79.3,15:31,+59.9,06:47,86,10:51,21,16:02,+64,10:51,+34.3,15:43,+74.8,16:58,+72.1,20:23,+59.9,06:47,+76.6,17:19,0,00:00,29.38,23:59,29.32,20:58,8.3,14:35,250,0,3,0.08,12.154
12,September,+83.1,16:34,+58.6,07:39,86,09:46,19,17:10,+61.9,10:24,+35.8,18:45,+73.8,21:55,+71.2,19:28,+58.6,07:39,+79.5,16:33,0,00:00,29.41,12:57,29.29,19:57,8.7,12:40,76,0,4,0.08,14.658
13,September,+85.3,16:51,+59,06:39,86,08:59,19,17:46,+61.3,09:54,+37.2,18:36,+73.2,20:44,+71.6,19:38,+59,08:14,+81.1,16:51,0,00:00,29.32,11:42,29.2,20:27,10.1,15:13,223,0,5,0.08,26.581
14,September,+83.7,15:52,+62.4,05:34,79,07:57,20,16:53,+57.9,08:05,+37.2,16:36,+73.2,20:49,+71.1,19:18,+62.4,05:34,+80.2,14:48,0,00:00,29.32,23:59,29.2,18:57,10.1,19:42,334,0,6,0.08,9.665
15,September,+65.5,16:19,+50.2,22:59,78,05:42,23,18:31,+50.2,05:12,+22.5,23:35,+73,10:56,+71.6,00:12,+42.8,10:06,-999,00:00,0.39,02:43,29.59,23:59,29.26,03:42,13.2,13:57,303,0.39,0,0.39,22.55
16,September,+64.6,15:19,+45.1,04:42,46,23:59,23,15:24,+31.1,23:49,+21.7,03:25,+74.3,21:53,+71.2,14:46,+44.6,04:50,-999,00:00,0,00:00,29.65,13:13,29.56,23:59,9.6,12:32,91,0,1,0.39,14.278
17,September,+72.5,16:09,+49.1,07:36,65,23:59,23,18:08,+43.9,23:59,+29.8,12:52,+74.5,22:40,+72,13:31,+49.1,07:36,+73,18:58,0,00:00,29.59,12:13,29.5,17:57,6.3,12:48,87,0,2,0.39,4.292
19,September,+66,16:29,+64.2,23:59,83,23:59,57,15:10,+59.5,19:30,+50.4,15:10,+74.3,21:46,+71.8,18:31,+64.2,23:59,-999,00:00,0.28,15:33,29.35,23:59,29.32,20:42,3.6,20:46,206,0.55,0,0.55,0
20,September,+76.6,17:04,+63.9,07:20,86,11:02,31,17:12,+62.2,11:50,+42.4,16:16,+74.3,15:40,+72.1,23:59,+63.9,07:20,+76.5,17:04,0.08,00:00,29.41,14:28,29.35,19:57,4.9,14:52,282,0,1,0.55,0.894
21,September,+74.7,17:08,+62.6,08:05,86,09:27,36,17:27,+62.4,09:43,+45.3,17:27,+73.4,21:00,+71.8,19:34,+62.6,08:20,+76.3,17:05,0,00:00,29.38,12:28,29.32,20:27,6.3,17:13,217,0,2,0.55,7.34
22,September,+82.6,15:35,+60.8,07:01,87,10:58,19,15:44,+67.6,10:58,+35.4,17:21,+73.6,23:02,+71.1,19:59,+60.8,08:29,+78.8,15:35,0,00:00,29.44,12:28,29.32,20:57,7.6,13:27,206,0,3,0.55,12.102
23,September,+66.6,00:06,+53.1,23:50,81,23:59,35,00:12,+53.4,04:53,+36.1,07:04,+75,21:34,+72.1,03:34,+50,08:16,-999,00:00,0.12,11:02,29.35,23:59,29.26,06:43,11.9,06:32,292,0.16,0,0.16,19.003
24,September,+71.4,17:13,+52.5,07:45,87,10:11,25,17:59,+50.9,10:06,+32.4,16:18,+75.4,16:16,+72.5,12:07,+51.8,07:45,+73.6,15:40,0,00:00,29.41,13:12,29.32,23:59,6.3,15:09,67,0,1,0.16,3.376
25,September,+79.5,16:14,+54.3,05:49,86,10:13,21,16:34,+57.4,10:16,+33.1,14:27,+74.7,23:40,+72.5,19:22,+53.6,05:49,+77,16:14,0,00:00,29.32,12:12,29.14,23:57,7.6,14:11,56,0,2,0.16,5.611
26,September,+73.9,10:22,+53.1,23:59,83,23:59,33,10:26,+53.8,14:06,+41.7,15:28,+74.8,22:20,+72.3,19:36,+53.1,23:59,+76.1,11:05,0.28,15:43,29.23,23:59,29.06,07:58,10.5,12:53,311,0.47,0,0.47,10.194
27,September,+72.9,15:28,+52.3,01:14,89,10:52,22,15:53,+55.2,10:52,+29.8,16:48,+74.1,21:47,+72.1,20:04,+51.8,01:17,+73.8,13:26,0,00:00,29.23,12:27,29.14,20:43,8.3,15:05,112,0,1,0.47,10.239
28,September,+71.8,14:42,+51.8,08:00,84,09:00,22,16:34,+54.5,09:20,+28.6,16:34,+73.9,20:44,+71.8,18:52,+51.8,08:26,+72.3,14:44,0,00:00,29.2,12:28,29.12,19:12,8.1,14:58,326,0,2,0.47,15.217
29,September,+74.3,17:36,+52.9,04:15,85,10:06,21,17:50,+56.3,10:11,+30.6,18:50,+74.5,23:03,+71.6,19:10,+52.9,04:15,+73.4,17:36,0,00:00,29.17,12:27,29,21:12,17,21:12,293,0.04,0,0.04,41.254
