This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

1,June,+73,00:05,+57,23:59,74,08:40,21,00:23,+57,08:40,+29.7,18:27,+74.3,20:21,+70.9,04:59,+51.8,23:53,+72.7,00:59,0.83,10:46,29.17,23:59,28.97,14:10,13.2,14:26,332,0.28,0,0.28,42.402
2,June,+71.8,16:11,+51.3,06:51,55,07:31,16,16:12,+37.6,07:31,+21.6,19:58,+73.4,23:00,+70.2,18:04,+50,07:42,+71.8,13:49,0,00:00,29.23,10:40,29.14,20:10,12.8,15:56,296,0,1,0.28,41.038
3,June,+79.9,17:57,+51.6,06:49,59,07:13,15,19:49,+40.3,07:33,+24.4,19:49,+72,01:25,+71.1,22:58,+51.6,06:49,+75.9,17:57,0,00:00,29.2,13:10,29.12,23:59,11.9,15:42,307,0,2,0.28,37.893
4,June,+81.7,16:44,+56.7,05:05,64,06:17,14,17:46,+45.7,06:49,+20.1,22:13,+72.1,14:08,+70.2,21:39,+56.7,05:05,+77.2,16:44,0,00:00,29.14,23:59,29.06,19:25,11.4,16:56,297,0,3,0.28,29.193
5,June,+70.3,13:49,+49.5,06:38,53,07:49,22,13:57,+37.6,23:46,+24.4,01:08,+73.8,21:43,+69.8,17:57,+49.5,06:38,+72.1,12:29,0,00:00,29.23,23:59,29.14,05:55,8.7,14:08,283,0,4,0.28,6.357
6,June,+76.5,18:47,+50,06:32,71,07:56,18,19:03,+46,08:06,+27.3,19:03,+73.8,22:41,+70.5,18:53,+50,06:55,+74.3,18:44,0,00:00,29.35,23:59,29.23,06:10,7.6,12:12,298,0,5,0.28,6.841
7,June,+80.6,18:19,+48.2,06:17,71,08:30,14,18:19,+48.6,08:42,+23,20:33,+72.7,22:56,+69.4,19:47,+48.2,06:39,+76.3,18:22,0,00:00,29.41,09:40,29.32,21:40,8.1,13:44,285,0,6,0.28,10.105
8,June,+86.9,16:26,+52.9,05:47,68,05:47,13,18:58,+44.4,09:19,+23.5,20:45,+73,20:57,+69.6,19:10,+52.9,05:47,+81.5,16:26,0,00:00,29.41,10:25,29.29,22:09,8.3,12:13,119,0,7,0.28,14.74
9,June,+88,18:01,+53.8,06:32,69,06:59,13,19:46,+47.5,08:19,+24.4,20:36,+73.2,23:02,+70.3,19:29,+53.6,06:45,+82.4,18:01,0,00:00,29.38,10:55,29.26,19:55,8.3,13:46,306,0,8,0.28,13.466
10,June,+88.2,13:05,+55.9,06:40,71,07:33,13,18:31,+52.3,08:19,+28.2,18:04,+72.9,20:56,+70.2,19:36,+55.4,06:46,+77.5,10:18,0,00:00,29.38,14:40,29.32,23:59,7.6,15:22,96,0,9,0.28,7.318
11,June,+76.8,19:32,+66.7,08:34,74,23:59,29,00:19,+61.2,14:13,+38.7,04:54,+73.2,22:52,+70.5,18:43,+66.2,08:44,+77.9,19:30,0.59,08:09,29.35,09:55,29.23,23:59,5.8,18:41,120,0.2,0,0.2,2.154
12,June,+87.4,16:48,+66.4,03:14,80,10:23,16,19:55,+66.6,10:23,+23.9,23:32,+72.1,08:45,+70,18:28,+66.2,04:27,+82.9,16:48,0,00:00,29.32,23:59,29.17,18:10,11,15:45,282,0,1,0.2,30.643
13,June,+81.1,17:01,+55.6,06:56,37,07:08,13,20:18,+33.4,14:08,+18.5,20:31,+72.7,21:08,+69.4,18:34,+51.8,07:00,+76.6,17:01,0,23:59,29.41,23:59,29.32,04:24,8.7,14:50,260,0,2,0.2,12.46
14,June,+84.2,17:57,+47.7,06:28,55,07:59,13,17:57,+38.3,08:11,+21.7,21:27,+72.5,21:59,+69.4,18:49,+47.7,06:28,+79,18:17,0,00:00,29.44,13:10,29.38,23:54,7.6,16:00,72,0,3,0.2,5.328
15,June,+88.3,16:55,+56.8,03:53,50,07:01,15,18:24,+42.8,07:24,+32.2,00:06,+74.1,20:48,+71.2,01:17,+56.8,03:53,+83.8,16:55,0,00:00,29.47,12:40,29.38,05:24,8.1,16:38,66,0,4,0.2,9.889
16,June,+85.5,14:23,+64,06:24,38,07:17,19,14:10,+42.1,12:45,+33.4,00:52,+73,14:14,+71.8,11:35,+64,06:24,+81.5,14:24,0,00:00,29.53,10:55,29.44,04:40,7.6,13:41,114,0,5,0.2,5.567
