This is the FreeWX-Wi Log


DATE,MONTH,TIME,TEMPERATURE,HUMIDITY,DEWPOINT,WINDCHILL,HEAT INDEX,WIND SPEED,WIND DIRECTION,GUST SPEED,GUST DIRECTION,BAROMETER,TREND,RAIN RATE,RAIN TOTAL,INDOOR TEMPERATURE,INDOOR HUMIDITY

,,, °F,%, °F, °F, °F,MPH,°,MPH,°,In.Hg,,In. /hour,In., °F,%

1,December,00:06,+39.9,44,+19.8,+39.2,n.a.,2.2,225,2.2,229,28.64,Steady,0,36.26,+67.8,42
1,December,00:21,+39.9,43,+19.2,+39.2,n.a.,2.2,223,2.7,163,28.64,Steady,0,36.26,+67.6,42
1,December,00:36,+39.4,47,+20.8,+39.2,n.a.,2,215,3.6,200,28.64,Steady,0,36.26,+67.6,42
1,December,00:51,+39,47,+20.5,+39,n.a.,1.3,203,4.5,207,28.64,Steady,0,36.26,+67.6,42
1,December,01:06,+39.2,45,+19.6,+26.6,n.a.,1.6,206,9.6,241,28.64,Steady,0,36.26,+67.5,42
1,December,01:21,+39.2,43,+18.7,+39.2,n.a.,2.9,219,5.4,249,28.64,Steady,0,36.26,+67.5,42
1,December,01:36,+38.7,43,+18.1,+38.7,n.a.,3.1,219,4.9,218,28.64,Steady,0,36.26,+67.5,41
1,December,01:51,+38.5,42,+17.4,+38.5,n.a.,2.7,217,2.7,270,28.64,Steady,0,36.26,+67.5,42
1,December,02:06,+38.3,42,+17.2,+38.3,n.a.,2.5,219,2.2,229,28.64,Steady,0,36.26,+67.3,41
1,December,02:21,+38.5,41,+16.9,+38.5,n.a.,2.5,226,8.1,299,28.64,Steady,0,36.26,+67.3,41
1,December,02:36,+37.8,44,+17.8,+37.4,n.a.,3.1,234,4.9,281,28.67,Steady,0,36.26,+67.3,41
1,December,02:51,+37.9,45,+18.5,+37.4,n.a.,2.7,233,3.6,281,28.67,Steady,0,36.26,+67.5,41
1,December,03:06,+37.6,47,+19.2,+37.4,n.a.,2.2,232,4.9,227,28.67,Steady,0,36.26,+67.3,41
1,December,03:21,+37.2,50,+20.3,+33.8,n.a.,2.2,230,5.4,200,28.67,Steady,0,36.26,+67.3,41
1,December,03:36,+36.9,53,+21.4,+36.9,n.a.,1.3,226,4,240,28.67,Steady,0,36.26,+67.5,41
1,December,03:51,+36.5,56,+22.3,+35.6,n.a.,0.7,221,0,270,28.67,Steady,0,36.26,+67.3,41
1,December,04:06,+37,53,+21.6,+32,n.a.,1.1,218,5.8,237,28.67,Steady,0,36.26,+67.5,41
1,December,04:21,+37.2,51,+20.8,+32,n.a.,1.8,219,6.3,229,28.67,Steady,0,36.26,+67.3,41
1,December,04:36,+36.7,51,+20.3,+36.9,n.a.,1.3,218,0,217,28.64,Steady,0,36.26,+67.3,41
