This is the FreeWX-Wi Log


DATE,MONTH,TIME,TEMPERATURE,HUMIDITY,DEWPOINT,WINDCHILL,HEAT INDEX,WIND SPEED,WIND DIRECTION,GUST SPEED,GUST DIRECTION,BAROMETER,TREND,RAIN RATE,RAIN TOTAL,INDOOR TEMPERATURE,INDOOR HUMIDITY

,,, °F,%, °F, °F, °F,MPH,°,MPH,°,In.Hg,,In. /hour,In., °F,%

18,February,11:17,+38.5,62,+26.6,+38.7,n.a.,4,263,3.6,275,29.06,Rising,0,3.94,+69.4,39
18,February,11:32,+38.8,51,+22.3,+35.6,n.a.,4.5,265,5.8,265,29.06,Rising,0,3.94,+69.4,38
18,February,11:47,+39.9,51,+23.4,+39.2,n.a.,4.9,261,2.7,296,29.06,Rising,0,3.94,+69.6,38
18,February,12:02,+39.9,48,+21.9,+39.2,n.a.,4.7,257,4,288,29.06,Rising,0,3.94,+69.4,38
18,February,12:17,+39.9,45,+20.3,+35.6,n.a.,4.5,258,5.8,257,29.06,Rising,0,3.94,+69.6,38
18,February,12:32,+40.3,42,+19,+33.8,n.a.,4.9,269,7.6,205,29.06,Rising,0,3.94,+69.8,38
18,February,12:49,+40.3,41,+18.5,+33.8,n.a.,5.1,263,7.6,283,29.06,Steady,0,3.94,+70,38
18,February,13:04,+41,40,+18.5,+37.4,n.a.,4.7,254,6.3,231,29.06,Steady,0,3.94,+70,38
18,February,13:19,+40.3,42,+19,+40.3,n.a.,4.3,243,2.2,115,29.06,Steady,0,3.94,+69.8,38
18,February,13:34,+41.9,43,+21,+41.9,n.a.,4.7,251,6.3,219,29.06,Steady,0,3.94,+70,38
18,February,18:46,+31.5,98,+30.9,+31.5,n.a.,0,207,0,199,29.09,Steady,0,3.94,+69.8,37
18,February,19:18,+34.9,76,+28,+35.1,n.a.,3.1,282,3.6,243,29.12,Steady,0,3.94,+70,37
18,February,19:33,+35.6,69,+26.4,+35.6,n.a.,3.4,266,6.3,271,29.12,Steady,0,3.94,+69.8,36
18,February,19:48,+34.3,68,+25,+30.2,n.a.,5.6,262,15,303,29.14,Rising,0,3.94,+70,36
18,February,20:03,+33.8,68,+24.4,+19.4,n.a.,6.9,279,10.5,286,29.14,Rising,0,3.94,+70,36
18,February,20:18,+33.4,75,+26.4,+33.4,n.a.,5.6,278,5.8,229,29.17,Rising,0,3.94,+69.8,36
18,February,20:33,+33.4,67,+23.7,+30.2,n.a.,4.5,281,5.8,271,29.17,Rising,0,3.94,+69.8,36
18,February,20:48,+33.3,63,+22.1,+33.3,n.a.,4.7,286,5.4,294,29.17,Rising,0,3.94,+69.8,36
18,February,21:03,+33.1,59,+20.3,+33.1,n.a.,4.7,286,7.6,233,29.17,Rising,0,3.94,+69.8,36
18,February,21:18,+32.7,56,+18.9,+15.8,n.a.,5.6,282,11,264,29.2,Rising,0,3.94,+69.8,36
