This is the FreeWX-Wi Log


DATE,MONTH,TIME,TEMPERATURE,HUMIDITY,DEWPOINT,WINDCHILL,HEAT INDEX,WIND SPEED,WIND DIRECTION,GUST SPEED,GUST DIRECTION,BAROMETER,TREND,RAIN RATE,RAIN TOTAL,INDOOR TEMPERATURE,INDOOR HUMIDITY

,,, °F,%, °F, °F, °F,MPH,°,MPH,°,In.Hg,,In. /hour,In., °F,%

1,July,00:14,+56.7,93,+54.7,+56.7,n.a.,0,195,0,195,29.29,Steady,0,26.22,+70,43
1,July,00:29,+56.7,95,+55.2,+56.7,n.a.,0,195,0,195,29.26,Steady,0,26.22,+70.2,44
1,July,00:44,+56.7,95,+55.2,+56.7,n.a.,0,195,0,195,29.29,Steady,0,26.22,+70,44
1,July,00:59,+56.7,96,+55.6,+56.7,n.a.,0,195,0,195,29.29,Steady,0,26.22,+69.8,43
1,July,01:14,+56.5,97,+55.6,+56.5,n.a.,0,195,0,195,29.29,Steady,0,26.22,+70,43
1,July,01:29,+56.1,96,+55,+55.4,n.a.,0,195,0,195,29.29,Steady,0,26.22,+69.8,44
1,July,01:44,+56.1,97,+55.2,+55.4,n.a.,0,195,0,195,29.29,Steady,0,26.22,+69.6,44
1,July,01:59,+55.9,98,+55.4,+55.4,n.a.,0,195,0,195,29.29,Steady,0,26.22,+69.8,43
1,July,02:14,+55.8,98,+55.2,+55.4,n.a.,0,195,0,195,29.29,Steady,0,26.22,+69.6,44
1,July,02:29,+55.4,98,+54.9,+55.4,n.a.,0,195,0,195,29.29,Steady,0,26.22,+69.6,44
1,July,02:44,+55,98,+54.5,+55,n.a.,0,195,0,195,29.29,Steady,0,26.22,+69.4,44
1,July,02:59,+54.7,98,+54.1,+54.7,n.a.,0,195,0,195,29.29,Steady,0,26.22,+69.4,44
1,July,03:14,+54.9,98,+54.3,+54.9,n.a.,0,195,0,195,29.26,Steady,0,26.22,+69.3,44
1,July,03:29,+54.5,98,+54,+54.5,n.a.,0,195,0,195,29.29,Steady,0,26.22,+69.4,44
1,July,03:44,+54.5,98,+54,+54.5,n.a.,0,195,0,195,29.26,Steady,0,26.22,+69.1,44
1,July,03:59,+54.5,98,+54,+54.5,n.a.,0,195,0,195,29.26,Steady,0,26.22,+69.3,44
1,July,04:14,+55,98,+54.5,+55,n.a.,0,195,0,195,29.26,Steady,0,26.22,+69.3,44
1,July,04:29,+54.7,98,+54.1,+54.7,n.a.,0,195,0,195,29.26,Steady,0,26.22,+69.3,44
1,July,04:44,+53.2,98,+52.7,+53.2,n.a.,0,195,0,195,29.26,Steady,0,26.22,+69.1,44
1,July,04:59,+52.9,98,+52.3,+52.9,n.a.,0,195,0,195,29.26,Steady,0,26.22,+69.1,44
1,July,05:14,+52.9,98,+52.3,+52.9,n.a.,0,195,0,195,29.29,Steady,0,26.22,+69.1,44
