This is the FreeWX-Wi Log


DATE,MONTH,TIME,TEMPERATURE,HUMIDITY,DEWPOINT,WINDCHILL,HEAT INDEX,WIND SPEED,WIND DIRECTION,GUST SPEED,GUST DIRECTION,BAROMETER,TREND,RAIN RATE,RAIN TOTAL,INDOOR TEMPERATURE,INDOOR HUMIDITY

,,, °F,%, °F, °F, °F,MPH,°,MPH,°,In.Hg,,In. /hour,In., °F,%

1,June,00:09,+64.6,72,+55.4,+64.4,n.a.,0,314,0,314,29.17,Steady,0,20.35,+71.1,42
1,June,00:24,+63.7,76,+55.9,+63.7,n.a.,0,314,0,314,29.17,Steady,0,20.35,+71.1,42
1,June,00:39,+63.3,77,+55.9,+62.6,n.a.,0,314,0,314,29.17,Steady,0,20.35,+70.9,42
1,June,00:54,+63,75,+54.9,+62.6,n.a.,0,314,0,314,29.17,Steady,0,20.35,+70.5,42
1,June,01:09,+63,76,+55.2,+62.6,n.a.,0,314,0,314,29.17,Steady,0,20.35,+70.7,42
1,June,01:24,+62.4,79,+55.8,+62.4,n.a.,0,314,0,314,29.17,Steady,0,20.35,+70.7,42
1,June,01:39,+61.9,80,+55.6,+61.9,n.a.,0,314,0,314,29.17,Steady,0,20.35,+70.3,42
1,June,01:54,+62.2,80,+55.9,+62.1,n.a.,0,314,0,314,29.17,Steady,0,20.35,+70.3,42
1,June,02:09,+62.8,79,+56.1,+62.6,n.a.,0,314,0,314,29.17,Steady,0,20.35,+70.5,42
1,June,02:24,+63,79,+56.3,+62.6,n.a.,0,314,0,314,29.17,Steady,0,20.35,+70.2,42
1,June,02:39,+63,80,+56.7,+62.6,n.a.,0,314,0,314,29.17,Steady,0,20.35,+70,42
1,June,02:54,+63.1,79,+56.5,+62.6,n.a.,0,314,0,314,29.17,Steady,0,20.35,+70.2,42
1,June,03:09,+63.1,81,+57.2,+62.6,n.a.,0,314,0,314,29.17,Steady,0,20.35,+70,42
1,June,03:24,+62.8,84,+57.9,+62.6,n.a.,0,314,0,314,29.17,Steady,0,20.35,+70,42
1,June,03:39,+63,85,+58.5,+62.6,n.a.,0,314,0,314,29.17,Steady,0,20.35,+70,42
1,June,03:54,+61.9,87,+57.9,+61.9,n.a.,0,314,0,314,29.17,Steady,0,20.35,+69.8,42
1,June,04:09,+60.6,94,+58.8,+60.6,n.a.,0,314,0,314,29.17,Steady,0,20.35,+70,42
1,June,04:24,+59.7,96,+58.6,+59,n.a.,0,314,0,314,29.17,Steady,0,20.35,+69.6,42
1,June,04:39,+59,96,+57.9,+59,n.a.,0,314,0,314,29.17,Steady,0,20.35,+69.8,42
1,June,04:54,+60.8,98,+60.3,+60.8,n.a.,0,314,0,314,29.17,Steady,0,20.35,+69.6,42
1,June,05:09,+60.3,98,+59.7,+60.3,n.a.,0,314,0,314,29.17,Steady,0,20.35,+69.8,42
