This is the FreeWX-Wi Log


DATE,MONTH,TIME,TEMPERATURE,HUMIDITY,DEWPOINT,WINDCHILL,HEAT INDEX,WIND SPEED,WIND DIRECTION,GUST SPEED,GUST DIRECTION,BAROMETER,TREND,RAIN RATE,RAIN TOTAL,INDOOR TEMPERATURE,INDOOR HUMIDITY

,,, °F,%, °F, °F, °F,MPH,°,MPH,°,In.Hg,,In. /hour,In., °F,%

1,May,00:04,+66.9,42,+43.2,+67.1,n.a.,4.3,240,3.6,237,29.29,Steady,0,7.44,+71.1,44
1,May,00:19,+66.2,44,+43.7,+66.2,n.a.,3.4,236,0,207,29.29,Steady,0,7.44,+70.9,44
1,May,00:34,+65.8,47,+45,+65.8,n.a.,1.8,220,0,265,29.29,Steady,0,7.44,+71.1,44
1,May,00:49,+65.5,48,+45.3,+65.5,n.a.,0.4,236,0,236,29.29,Steady,0,7.44,+70.9,44
1,May,01:04,+64.9,51,+46.4,+64.4,n.a.,0,202,0,157,29.29,Steady,0,7.44,+70.9,43
1,May,01:19,+64.8,52,+46.8,+64.4,n.a.,0,157,0,158,29.29,Steady,0,7.44,+70.9,43
1,May,01:34,+64.4,54,+47.3,+64.4,n.a.,0,158,0,158,29.29,Steady,0,7.44,+70.5,43
1,May,01:49,+63.7,57,+48.2,+63.7,n.a.,0,158,0,158,29.26,Steady,0,7.44,+70.7,43
1,May,02:04,+63.3,61,+49.6,+62.6,n.a.,0,158,0,158,29.26,Steady,0,7.44,+70.5,43
1,May,02:19,+63,63,+50.2,+62.6,n.a.,0,158,0,158,29.26,Steady,0,7.44,+70.5,43
1,May,02:34,+63,65,+51.1,+62.6,n.a.,0,158,0,158,29.26,Steady,0,7.44,+70.7,43
1,May,02:49,+62.1,65,+50.2,+62.1,n.a.,0,158,0,158,29.23,Steady,0,7.44,+70.3,43
1,May,03:04,+61.5,67,+50.5,+60.8,n.a.,0,158,0,158,29.23,Steady,0,7.44,+70.5,43
1,May,03:19,+61,69,+50.7,+60.8,n.a.,0,158,0,158,29.23,Steady,0,7.44,+70.3,42
1,May,03:34,+61.2,71,+51.6,+60.8,n.a.,0,158,0,158,29.23,Steady,0,7.44,+70.3,43
1,May,03:49,+61,76,+53.4,+60.8,n.a.,0,158,0,158,29.23,Steady,0,7.44,+70.3,43
1,May,04:04,+61,83,+55.8,+60.8,n.a.,0,170,0,194,29.23,Steady,0,7.44,+70.5,43
1,May,04:19,+61.7,86,+57.4,+61.7,n.a.,0,189,0,194,29.23,Steady,0,7.44,+70.2,42
1,May,04:34,+62.2,85,+57.7,+62.2,n.a.,0,187,0,197,29.2,Steady,0,7.44,+70.2,43
1,May,04:49,+62.6,80,+56.3,+62.6,n.a.,0,189,0,197,29.2,Steady,0,7.44,+70.3,43
