This is the FreeWX-Wi Log


DATE,MONTH,TIME,TEMPERATURE,HUMIDITY,DEWPOINT,WINDCHILL,HEAT INDEX,WIND SPEED,WIND DIRECTION,GUST SPEED,GUST DIRECTION,BAROMETER,TREND,RAIN RATE,RAIN TOTAL,INDOOR TEMPERATURE,INDOOR HUMIDITY

,,, °F,%, °F, °F, °F,MPH,°,MPH,°,In.Hg,,In. /hour,In., °F,%

1,March,00:14,+30.7,40,+9.3,+30.2,n.a.,2.2,349,0,333,29.35,Steady,0,2.05,+67.6,37
1,March,00:29,+30.7,38,+8.2,+30.2,n.a.,1.8,332,2.7,295,29.35,Steady,0,2.05,+67.8,37
1,March,00:44,+30.4,38,+7.9,+30.2,n.a.,1.8,343,0,335,29.35,Steady,0,2.05,+67.5,37
1,March,00:59,+29.8,41,+9,+29.8,n.a.,2.2,340,2.2,22,29.35,Steady,0,2.05,+67.6,37
1,March,01:14,+29.5,43,+9.9,+29.5,n.a.,2.9,330,3.6,340,29.35,Steady,0,2.05,+67.5,37
1,March,01:29,+29.3,44,+10,+28.4,n.a.,2.2,323,0,94,29.35,Steady,0,2.05,+68.2,36
1,March,01:44,+28.6,43,+9,+28.4,n.a.,2,319,0,52,29.35,Steady,0,2.05,+67.8,37
1,March,01:59,+28.4,43,+8.8,+28.4,n.a.,2.7,329,5.4,297,29.35,Steady,0,2.05,+67.8,37
1,March,02:14,+27.9,45,+9.3,+27.9,n.a.,2,354,5.4,235,29.35,Steady,0,2.05,+67.5,37
1,March,02:29,+27.1,45,+8.6,+26.6,n.a.,1.8,92,4,106,29.35,Steady,0,2.05,+67.6,37
1,March,02:44,+26.8,47,+9.3,+26.6,n.a.,2.5,11,4.9,41,29.35,Steady,0,2.05,+68.2,36
1,March,02:59,+26.4,47,+9,+26.4,n.a.,2.9,326,2.7,250,29.35,Steady,0,2.05,+67.8,36
1,March,03:14,+26.1,48,+9.1,+26.1,n.a.,3.1,324,0,6,29.35,Steady,0,2.05,+67.8,37
1,March,03:29,+25.7,47,+8.2,+24.8,n.a.,2.7,336,5.8,10,29.35,Steady,0,2.05,+67.5,36
1,March,03:44,+25.5,48,+8.6,+24.8,n.a.,2,21,0,207,29.35,Steady,0,2.05,+67.6,36
1,March,03:59,+25.7,47,+8.2,+24.8,n.a.,1.6,114,3.6,299,29.35,Steady,0,2.05,+68.2,36
1,March,04:14,+25.3,45,+7,+24.8,n.a.,1.6,17,3.1,307,29.35,Steady,0,2.05,+67.6,36
1,March,04:29,+25.3,45,+7,+24.8,n.a.,1.6,27,0,236,29.35,Steady,0,2.05,+67.6,36
1,March,04:44,+25.3,45,+7,+24.8,n.a.,1.6,162,2.2,259,29.35,Steady,0,2.05,+67.5,36
1,March,04:59,+25.3,44,+6.4,+24.8,n.a.,1.6,311,2.2,11,29.35,Steady,0,2.05,+67.8,36
