This is the FreeWX-Wi Log


DATE,MONTH,TIME,TEMPERATURE,HUMIDITY,DEWPOINT,WINDCHILL,HEAT INDEX,WIND SPEED,WIND DIRECTION,GUST SPEED,GUST DIRECTION,BAROMETER,TREND,RAIN RATE,RAIN TOTAL,INDOOR TEMPERATURE,INDOOR HUMIDITY

,,, °F,%, °F, °F, °F,MPH,°,MPH,°,In.Hg,,In. /hour,In., °F,%

1,September,00:07,+63.9,53,+46.4,+63.9,n.a.,0.4,169,0,191,29.41,Steady,0,31.06,+70.3,41
1,September,00:22,+63.5,55,+47.1,+63.5,n.a.,0.4,178,0,191,29.41,Steady,0,31.06,+70.2,41
1,September,00:37,+63,59,+48.4,+62.6,n.a.,0.2,189,0,183,29.41,Steady,0,31.06,+70.2,40
1,September,00:52,+62.6,57,+47.1,+62.6,n.a.,0,190,0,202,29.41,Steady,0,31.06,+70.2,40
1,September,01:07,+63.1,57,+47.7,+62.6,n.a.,0.2,204,0,201,29.41,Steady,0,31.06,+70.2,41
1,September,01:22,+61.7,63,+48.9,+61.7,n.a.,0.2,209,0,202,29.41,Steady,0,31.06,+70,41
1,September,01:37,+61.2,66,+49.6,+60.8,n.a.,0,202,0,202,29.41,Steady,0,31.06,+69.6,41
1,September,01:52,+61.3,69,+51.1,+60.8,n.a.,0,206,0,238,29.41,Steady,0,31.06,+69.8,40
1,September,02:07,+60.4,71,+50.9,+60.4,n.a.,0,220,0,228,29.41,Steady,0,31.06,+69.8,41
1,September,02:22,+59.9,74,+51.6,+59.9,n.a.,0,228,0,228,29.41,Steady,0,31.06,+69.6,41
1,September,02:37,+60.3,74,+52,+60.3,n.a.,0,230,0,239,29.38,Steady,0,31.06,+69.4,41
1,September,02:52,+60.1,75,+52.2,+60.1,n.a.,0,236,0,239,29.38,Steady,0,31.06,+69.6,41
1,September,03:07,+59.7,78,+52.9,+59,n.a.,0,226,0,196,29.38,Steady,0,31.06,+69.4,41
1,September,03:22,+59.5,84,+54.7,+59,n.a.,0,202,0,197,29.38,Steady,0,31.06,+69.3,41
1,September,03:37,+58.8,86,+54.7,+58.8,n.a.,0,197,0,197,29.38,Steady,0,31.06,+69.4,41
1,September,03:52,+58.8,88,+55.2,+58.8,n.a.,0,197,0,197,29.41,Steady,0,31.06,+69.3,41
1,September,04:07,+58.8,89,+55.6,+58.8,n.a.,0,197,0,197,29.41,Steady,0,31.06,+69.3,41
1,September,04:22,+58.5,90,+55.6,+58.5,n.a.,0,197,0,197,29.41,Steady,0,31.06,+69.3,41
1,September,04:37,+58.8,91,+56.1,+58.8,n.a.,0,197,0,197,29.41,Steady,0,31.06,+69.3,40
1,September,04:52,+58.5,91,+55.8,+58.3,n.a.,0,197,0,197,29.41,Steady,0,31.06,+69.1,41
